returned_won_episode,returned_episode,returned_episode_lengths,loss,test_returned_episode,update_steps,_step,test_returned_episode_returns,test_returned_episode_lengths,test_returned_won_episode,_runtime,grad_steps,qvals,returned_episode_returns,env_step,_timestamp
0.0,0.01302083395421505,31.009117126464844,0.0,1.0,29,28,0.10344257205724716,38.689125061035156,0.0,81.569831795,0,0.0,0.10332537442445755,44544,1746164249.5693848
0.0,0.014322916977107525,31.625001907348633,0.006141838617622852,1.0,45,44,0.10344257205724716,38.689125061035156,0.0,86.316148935,112,0.42182034254074097,0.13189660012722015,69120,1746164254.3156097
0.0,0.015625,31.705730438232422,0.00539228692650795,1.0,51,50,0.10344257205724716,38.689125061035156,0.0,88.291834874,160,0.423376202583313,0.15201227366924286,78336,1746164256.2911286
0.0,0.015625,31.050783157348633,0.0082006910815835,1.0,55,54,0.10344257205724716,38.689125061035156,0.0,89.612486563,192,0.5743952989578247,0.13668186962604523,84480,1746164257.611797
0.0,0.01302083395421505,30.531251907348633,0.015451734885573387,1.0,63,62,0.10344257205724716,38.689125061035156,0.0,92.253498864,256,0.6837277412414551,0.16335059702396393,96768,1746164260.252872
0.0,0.013671875931322575,30.736980438232422,0.012631246820092201,1.0,75,74,0.10344257205724716,38.689125061035156,0.0,96.217079017,352,0.7512935400009155,0.15026932954788208,115200,1746164264.216476
0.0,0.014322916977107525,31.924480438232422,0.022489864379167557,1.0,94,93,0.10344257205724716,38.689125061035156,0.0,102.498825897,504,0.8153485059738159,0.19610987603664398,144384,1746164270.4981778
0.0,0.013671875931322575,31.451824188232422,0.05104689300060272,1.0,123,122,0.10344257205724716,38.689125061035156,0.0,112.06941611,736,0.7890167236328125,0.1921345591545105,188928,1746164280.0684385
0.0,0.014322916977107525,31.727867126464844,0.06876274198293686,1.0,133,132,0.10344257205724716,38.689125061035156,0.0,115.37566778,816,0.7435868978500366,0.1836199164390564,204288,1746164283.3751054
0.0,0.015625,31.162761688232422,0.052597466856241226,1.0,136,135,0.10344257205724716,38.689125061035156,0.0,116.380823717,840,0.5560774803161621,0.18941152095794678,208896,1746164284.3801692
0.0,0.014322916977107525,31.615886688232422,0.04258093982934952,1.0,160,159,0.10344257205724716,38.689125061035156,0.0,124.309529942,1032,0.5993059873580933,0.2211698740720749,245760,1746164292.3089654
0.0,0.01497395895421505,31.658855438232422,0.1482015699148178,1.0,183,182,0.10344257205724716,38.689125061035156,0.0,131.888024067,1216,0.6652718782424927,0.22729498147964478,281088,1746164299.8874786
0.0,0.01497395895421505,31.876304626464844,0.14687612652778625,1.0,187,186,0.10344257205724716,38.689125061035156,0.0,133.222502849,1248,0.6604118347167969,0.19970831274986267,287232,1746164301.2219152
0.0,0.014322916977107525,31.305992126464844,0.13141749799251556,1.0,189,188,0.10344257205724716,38.689125061035156,0.0,133.879134947,1264,0.6810852885246277,0.20875152945518494,290304,1746164301.8783274
0.0,0.013671875931322575,32.28125,0.09047134220600128,1.0,194,193,0.10344257205724716,38.689125061035156,0.0,135.517811843,1304,0.7566864490509033,0.22755134105682373,297984,1746164303.5173345
0.0,0.01302083395421505,32.020835876464844,0.09151525795459747,1.0,196,195,0.10344257205724716,38.689125061035156,0.0,136.17129962,1320,0.7624213695526123,0.23343902826309204,301056,1746164304.1706996
0.0,0.01497395895421505,31.467449188232422,0.13576221466064453,1.0,198,197,0.10344257205724716,38.689125061035156,0.0,136.836066673,1336,0.7576639652252197,0.23356907069683075,304128,1746164304.8354583
0.0,0.01302083395421505,32.2421875,0.16951000690460205,1.0,204,203,0.10344257205724716,38.689125061035156,0.0,138.82774099,1384,0.6904506087303162,0.22397831082344055,313344,1746164306.8271239
0.0,0.012369791977107525,31.404949188232422,0.2873154878616333,1.0,259,258,0.10344257205724716,38.689125061035156,0.0,156.893464941,1824,0.7928097248077393,0.23865552246570587,397824,1746164324.893201
0.0,0.013671875931322575,32.23828125,0.675521194934845,1.0,278,277,0.10344257205724716,38.689125061035156,0.0,163.127579157,1976,0.7749484777450562,0.19821050763130188,427008,1746164331.127272
0.0,0.015625,31.714845657348633,0.6186304092407227,1.0,285,284,0.10344257205724716,38.689125061035156,0.0,165.408179234,2032,0.7701090574264526,0.2736113369464874,437760,1746164333.4078248
0.0,0.014322916977107525,32.161460876464844,0.5488603115081787,1.0,303,302,0.10344257205724716,38.689125061035156,0.0,171.320367574,2176,0.7354094386100769,0.21268479526042938,465408,1746164339.3200521
0.0,0.01497395895421505,31.554689407348633,0.4888182580471039,0.9999999403953552,330,329,0.5710023641586304,57.78640365600586,0.006472491659224033,180.269250065,2392,0.6588855981826782,0.16765360534191132,506880,1746164348.2688065
0.0,0.01953125186264515,27.94270896911621,0.38540828227996826,0.9999999403953552,360,359,0.5710023641586304,57.78640365600586,0.006472491659224033,190.111923667,2632,0.6530783176422119,0.08989562094211578,552960,1746164358.111594
0.0,0.01888020895421505,27.938152313232422,0.16794265806674957,0.9999999403953552,374,373,0.5710023641586304,57.78640365600586,0.006472491659224033,194.689660742,2744,0.5919221639633179,0.0872226133942604,574464,1746164362.6893613
0.0,0.013671875931322575,31.473960876464844,0.17535096406936646,0.9999999403953552,376,375,0.5710023641586304,57.78640365600586,0.006472491659224033,195.346563939,2760,0.5910640954971313,0.14356261491775513,577536,1746164363.3461773
0.0,0.01497395895421505,30.489585876464844,0.20940890908241272,0.9999999403953552,381,380,0.5710023641586304,57.78640365600586,0.006472491659224033,196.996054891,2800,0.6081993579864502,0.10419108718633652,585216,1746164364.9955587
0.0,0.015625,31.371095657348633,0.348399817943573,0.9999999403953552,414,413,0.5710023641586304,57.78640365600586,0.006472491659224033,207.949087222,3064,0.7426227331161499,0.13433845341205597,635904,1746164375.9487233
0.0,0.012369791977107525,31.770835876464844,0.3444739878177643,0.9999999403953552,415,414,0.5710023641586304,57.78640365600586,0.006472491659224033,208.277129087,3072,0.7530155181884766,0.150997132062912,637440,1746164376.276757
0.0,0.01497395895421505,31.153648376464844,0.4774206578731537,0.9999999403953552,424,423,0.5710023641586304,57.78640365600586,0.006472491659224033,211.21709871,3144,0.6962845921516418,0.10998481512069702,651264,1746164379.2167902
0.0,0.013671875931322575,32.204429626464844,0.2660851776599884,0.9999999403953552,432,431,0.5710023641586304,57.78640365600586,0.006472491659224033,213.834767322,3208,0.7566975355148315,0.13636203110218048,663552,1746164381.834473
0.0,0.014322916977107525,31.601564407348633,0.3313440978527069,0.9999999403953552,438,437,0.5710023641586304,57.78640365600586,0.006472491659224033,215.787372889,3256,0.7567213773727417,0.09538260102272034,672768,1746164383.7870872
0.0,0.014322916977107525,31.828126907348633,0.27600789070129395,0.9999999403953552,457,456,0.5710023641586304,57.78640365600586,0.006472491659224033,222.059386806,3408,0.8430114984512329,0.09990143030881882,701952,1746164390.058953
0.0,0.02148437686264515,26.650392532348633,0.4045731723308563,0.9999999403953552,490,489,0.5710023641586304,57.78640365600586,0.006472491659224033,232.86830004,3672,0.7634486556053162,0.040119465440511703,752640,1746164400.8679714
0.0,0.01302083395421505,31.083335876464844,0.27342694997787476,0.9999999403953552,506,505,0.5710023641586304,57.78640365600586,0.006472491659224033,238.113884119,3800,0.7521336674690247,0.0771557167172432,777216,1746164406.1135852
0.0,0.015625,31.486980438232422,0.482452392578125,0.9999999403953552,536,535,0.5710023641586304,57.78640365600586,0.006472491659224033,247.954718561,4040,0.87706458568573,0.07976443320512772,823296,1746164415.9544332
0.0,0.014322916977107525,31.915367126464844,0.2811514139175415,0.9999999403953552,542,541,0.5710023641586304,57.78640365600586,0.006472491659224033,249.938680825,4088,0.9175733327865601,0.0826052576303482,832512,1746164417.9383416
0.0,0.015625,32.22526168823242,0.2792286276817322,0.9999999403953552,592,591,0.5710023641586304,57.78640365600586,0.006472491659224033,266.320930225,4488,0.8815720677375793,0.08240164816379547,909312,1746164434.3206453
0.0,0.01497395895421505,31.848960876464844,0.2819039225578308,0.9999999403953552,610,609,0.5710023641586304,57.78640365600586,0.006472491659224033,272.206071923,4632,1.1385760307312012,0.051904626190662384,936960,1746164440.2057917
0.0,0.012369791977107525,31.305992126464844,0.2910870611667633,0.9999999403953552,611,610,0.5710023641586304,57.78640365600586,0.006472491659224033,272.531445795,4640,1.0687451362609863,0.06260959804058075,938496,1746164440.5311956
0.0,0.010416666977107525,31.946617126464844,0.4832041263580322,0.9999999403953552,627,626,0.5710023641586304,57.78640365600586,0.006472491659224033,277.766955873,4768,1.1850305795669556,0.027265680953860283,963072,1746164445.766651
0.0,0.014322916977107525,32.18229293823242,0.3689069151878357,1.0,657,656,0.02676895633339882,65.7862548828125,0.0,287.693974245,5008,1.0818777084350586,0.05458052083849907,1009152,1746164455.693653
0.0,0.013671875931322575,32.12109375,0.8853636980056763,1.0,662,661,0.02676895633339882,65.7862548828125,0.0,289.328410395,5048,1.0129525661468506,0.051906365901231766,1016832,1746164457.3281262
0.0,0.01497395895421505,32.00390625,0.39472052454948425,1.0,697,696,0.02676895633339882,65.7862548828125,0.0,300.820530342,5328,1.135375738143921,0.04272054135799408,1070592,1746164468.8202603
0.0,0.012369791977107525,32.09375,0.359048068523407,1.0,716,715,0.02676895633339882,65.7862548828125,0.0,307.084335423,5480,1.1542656421661377,0.12902313470840454,1099776,1746164475.0839715
0.0,0.010416666977107525,31.050783157348633,0.31530481576919556,1.0,721,720,0.02676895633339882,65.7862548828125,0.0,308.714953312,5520,1.1455386877059937,0.09285569936037064,1107456,1746164476.714615
0.0,0.01302083395421505,32.020835876464844,0.18041762709617615,1.0,728,727,0.02676895633339882,65.7862548828125,0.0,310.996688631,5576,1.1287683248519897,0.1919885128736496,1118208,1746164478.9963992
0.0,0.011718750931322575,32.305992126464844,0.17326737940311432,1.0,734,733,0.02676895633339882,65.7862548828125,0.0,312.966696632,5624,1.1027038097381592,0.155772402882576,1127424,1746164480.966396
0.0,0.01497395895421505,32.091148376464844,0.26540258526802063,1.0,748,747,0.02676895633339882,65.7862548828125,0.0,317.545133324,5736,1.0147948265075684,0.14939627051353455,1148928,1746164485.5447726
0.0,0.01497395895421505,31.970054626464844,0.24583755433559418,1.0,763,762,0.02676895633339882,65.7862548828125,0.0,322.457663905,5856,1.0581245422363281,0.20854172110557556,1171968,1746164490.4573352
0.0,0.015625,31.789064407348633,0.1314077079296112,1.0,775,774,0.02676895633339882,65.7862548828125,0.0,326.395632355,5952,1.1107715368270874,0.2154112607240677,1190400,1746164494.395342
