update_steps,test_returned_episode_lengths,rng3947986621/returned_episode_lengths,_timestamp,rng3947986621/returned_episode_returns,_runtime,rng3947986621/env_step,rng3947986621/test_returned_episode_lengths,rng3947986621/returned_episode,qvals,rng3947986621/qvals,returned_episode_lengths,env_step,test_returned_episode_returns,rng3947986621/loss,returned_won_episode,returned_episode_returns,test_returned_won_episode,rng3947986621/update_steps,returned_episode,loss,rng3947986621/test_returned_episode_returns,grad_steps,rng3947986621/grad_steps,_step,rng3947986621/test_returned_episode,rng3947986621/returned_won_episode,test_returned_episode,rng3947986621/test_returned_won_episode
26,16.191984176635742,31.186199188232422,1746180870.0473073,0.10804103314876556,50.084741553,39936.0,16.191984176635742,0.01302083395421505,0.0,0.0,31.186199188232422,39936.0,0.001934628700837493,0.0,0.0,0.10804103314876556,0.0,26,0.01302083395421505,0.0,0.001934628700837493,0,0,25,1.0000001192092896,0.0,1.0000001192092896,0.0
28,16.191984176635742,29.9296875,1746180870.1787992,0.09603063762187958,50.216233159,43008.0,16.191984176635742,0.01497395895421505,0.0,0.0,29.9296875,43008.0,0.001934628700837493,0.0,0.0,0.09603063762187958,0.0,28,0.01497395895421505,0.0,0.001934628700837493,0,0,27,1.0000001192092896,0.0,1.0000001192092896,0.0
43,16.191984176635742,30.424480438232422,1746180875.1325939,0.10603117942810059,55.170055461,66048.0,16.191984176635742,0.015625,0.3031591773033142,0.3031591773033142,30.424480438232422,66048.0,0.001934628700837493,0.0035741140600293875,0.0,0.10603117942810059,0.0,43,0.015625,0.0035741140600293875,0.001934628700837493,96,96,42,1.0000001192092896,0.0,1.0000001192092896,0.0
70,16.191984176635742,30.703125,1746180885.8351176,0.14096346497535706,65.872573021,107520.0,16.191984176635742,0.014322916977107525,0.5817985534667969,0.5817985534667969,30.703125,107520.0,0.001934628700837493,0.004363485611975193,0.0,0.14096346497535706,0.0,70,0.014322916977107525,0.004363485611975193,0.001934628700837493,312,312,69,1.0000001192092896,0.0,1.0000001192092896,0.0
72,16.191984176635742,31.330730438232422,1746180886.627746,0.14097487926483154,66.665194035,110592.0,16.191984176635742,0.013671875,0.6236260533332825,0.6236260533332825,31.330730438232422,110592.0,0.001934628700837493,0.01979813538491726,0.0,0.14097487926483154,0.0,72,0.013671875,0.01979813538491726,0.001934628700837493,328,328,71,1.0000001192092896,0.0,1.0000001192092896,0.0
109,16.191984176635742,31.670574188232422,1746180901.3036013,0.15343812108039856,81.341119971,167424.0,16.191984176635742,0.01497395895421505,0.6641902327537537,0.6641902327537537,31.670574188232422,167424.0,0.001934628700837493,0.011608459986746311,0.0,0.15343812108039856,0.0,109,0.01497395895421505,0.011608459986746311,0.001934628700837493,624,624,108,1.0000001192092896,0.0,1.0000001192092896,0.0
116,16.191984176635742,29.734375,1746180904.0774026,0.13173231482505798,84.114830554,178176.0,16.191984176635742,0.013671875,0.6307129859924316,0.6307129859924316,29.734375,178176.0,0.001934628700837493,0.01752350851893425,0.0,0.13173231482505798,0.0,116,0.013671875,0.01752350851893425,0.001934628700837493,680,680,115,1.0000001192092896,0.0,1.0000001192092896,0.0
135,16.191984176635742,30.893230438232422,1746180911.6117048,0.1429145485162735,91.649199241,207360.0,16.191984176635742,0.01497395895421505,0.622119128704071,0.622119128704071,30.893230438232422,207360.0,0.001934628700837493,0.04211542382836342,0.0,0.1429145485162735,0.0,135,0.01497395895421505,0.04211542382836342,0.001934628700837493,832,832,134,1.0000001192092896,0.0,1.0000001192092896,0.0
137,16.191984176635742,31.21875,1746180912.4043787,0.15281890332698822,92.441829792,210432.0,16.191984176635742,0.014322916977107525,0.5539090633392334,0.5539090633392334,31.21875,210432.0,0.001934628700837493,0.04026032239198685,0.0,0.15281890332698822,0.0,137,0.014322916977107525,0.04026032239198685,0.001934628700837493,848,848,136,1.0000001192092896,0.0,1.0000001192092896,0.0
149,16.191984176635742,30.94921875,1746180917.1620326,0.1745723932981491,97.199486599,228864.0,16.191984176635742,0.01497395895421505,0.5564741492271423,0.5564741492271423,30.94921875,228864.0,0.001934628700837493,0.0273688193410635,0.0,0.1745723932981491,0.0,149,0.01497395895421505,0.0273688193410635,0.001934628700837493,944,944,148,1.0000001192092896,0.0,1.0000001192092896,0.0
153,16.191984176635742,29.98177146911621,1746180918.7468266,0.15757708251476288,98.78428104,235008.0,16.191984176635742,0.01497395895421505,0.5202820301055908,0.5202820301055908,29.98177146911621,235008.0,0.001934628700837493,0.06421273946762085,0.0,0.15757708251476288,0.0,153,0.01497395895421505,0.06421273946762085,0.001934628700837493,976,976,152,1.0000001192092896,0.0,1.0000001192092896,0.0
162,16.191984176635742,31.25390625,1746180922.3193555,0.1644670069217682,102.35681475,248832.0,16.191984176635742,0.015625,0.44962823390960693,0.44962823390960693,31.25390625,248832.0,0.001934628700837493,0.059156596660614014,0.0,0.1644670069217682,0.0,162,0.015625,0.059156596660614014,0.001934628700837493,1048,1048,161,1.0000001192092896,0.0,1.0000001192092896,0.0
170,16.191984176635742,31.358074188232422,1746180925.489902,0.1712641566991806,105.52738172,261120.0,16.191984176635742,0.01497395895421505,0.46168094873428345,0.46168094873428345,31.358074188232422,261120.0,0.001934628700837493,0.030359026044607162,0.0,0.1712641566991806,0.0,170,0.01497395895421505,0.030359026044607162,0.001934628700837493,1112,1112,169,1.0000001192092896,0.0,1.0000001192092896,0.0
193,16.191984176635742,31.229167938232422,1746180934.6126292,0.1753317415714264,114.65009777,296448.0,16.191984176635742,0.015625,0.32893669605255127,0.32893669605255127,31.229167938232422,296448.0,0.001934628700837493,0.1358359158039093,0.0,0.1753317415714264,0.0,193,0.015625,0.1358359158039093,0.001934628700837493,1296,1296,192,1.0000001192092896,0.0,1.0000001192092896,0.0
194,16.191984176635742,31.151042938232422,1746180935.0088189,0.164639413356781,115.046280796,297984.0,16.191984176635742,0.014322916977107525,0.2731071710586548,0.2731071710586548,31.151042938232422,297984.0,0.001934628700837493,0.28416141867637634,0.0,0.164639413356781,0.0,194,0.014322916977107525,0.28416141867637634,0.001934628700837493,1304,1304,193,1.0000001192092896,0.0,1.0000001192092896,0.0
208,16.191984176635742,31.04296875,1746180940.5587301,0.16634705662727356,120.596184209,319488.0,16.191984176635742,0.015625,0.24684615433216095,0.24684615433216095,31.04296875,319488.0,0.001934628700837493,0.17460165917873383,0.0,0.16634705662727356,0.0,208,0.015625,0.17460165917873383,0.001934628700837493,1416,1416,207,1.0000001192092896,0.0,1.0000001192092896,0.0
236,16.191984176635742,31.209636688232422,1746180951.6618397,0.19858971238136292,131.699340009,362496.0,16.191984176635742,0.01497395895421505,0.31707853078842163,0.31707853078842163,31.209636688232422,362496.0,0.001934628700837493,0.31460511684417725,0.0,0.19858971238136292,0.0,236,0.01497395895421505,0.31460511684417725,0.001934628700837493,1640,1640,235,1.0000001192092896,0.0,1.0000001192092896,0.0
237,16.191984176635742,31.23177146911621,1746180952.0580697,0.1721835732460022,132.095519198,364032.0,16.191984176635742,0.013671875,0.30953526496887207,0.30953526496887207,31.23177146911621,364032.0,0.001934628700837493,0.3587738871574402,0.0,0.1721835732460022,0.0,237,0.013671875,0.3587738871574402,0.001934628700837493,1648,1648,236,1.0000001192092896,0.0,1.0000001192092896,0.0
239,16.191984176635742,31.05078125,1746180952.8503203,0.17499050498008728,132.88780586,367104.0,16.191984176635742,0.013671875,0.31363755464553833,0.31363755464553833,31.05078125,367104.0,0.001934628700837493,0.3356819748878479,0.0,0.17499050498008728,0.0,239,0.013671875,0.3356819748878479,0.001934628700837493,1664,1664,238,1.0000001192092896,0.0,1.0000001192092896,0.0
265,16.191984176635742,31.83984375,1746180963.1561022,0.21724510192871094,143.193560139,407040.0,16.191984176635742,0.01497395895421505,0.36725836992263794,0.36725836992263794,31.83984375,407040.0,0.001934628700837493,0.4244368076324463,0.0,0.21724510192871094,0.0,265,0.01497395895421505,0.4244368076324463,0.001934628700837493,1872,1872,264,1.0000001192092896,0.0,1.0000001192092896,0.0
277,16.191984176635742,31.3984375,1746180967.911478,0.19722768664360046,147.948961906,425472.0,16.191984176635742,0.015625,0.44122692942619324,0.44122692942619324,31.3984375,425472.0,0.001934628700837493,0.24470117688179016,0.0,0.19722768664360046,0.0,277,0.015625,0.24470117688179016,0.001934628700837493,1968,1968,276,1.0000001192092896,0.0,1.0000001192092896,0.0
306,16.191984176635742,31.09114646911621,1746180979.4136875,0.22183047235012054,159.451138292,470016.0,16.191984176635742,0.015625,0.4562033712863922,0.4562033712863922,31.09114646911621,470016.0,0.001934628700837493,0.5277926921844482,0.0,0.22183047235012054,0.0,306,0.015625,0.5277926921844482,0.001934628700837493,2200,2200,305,1.0000001192092896,0.0,1.0000001192092896,0.0
316,16.191984176635742,31.74739646911621,1746180983.3795276,0.21900451183319092,163.416990437,485376.0,16.191984176635742,0.015625,0.4149026572704315,0.4149026572704315,31.74739646911621,485376.0,0.001934628700837493,0.21917514503002167,0.0,0.21900451183319092,0.0,316,0.015625,0.21917514503002167,0.001934628700837493,2280,2280,315,1.0000001192092896,0.0,1.0000001192092896,0.0
328,52.69530487060547,31.41145896911621,1746180988.227507,0.2274302840232849,168.264958201,503808.0,52.69530487060547,0.01497395895421505,0.3539077043533325,0.3539077043533325,31.41145896911621,503808.0,0.5243716239929199,0.2749643921852112,0.0,0.2274302840232849,0.0,328,0.01497395895421505,0.2749643921852112,0.5243716239929199,2376,2376,327,1.0,0.0,1.0,0.0
334,52.69530487060547,31.2265625,1746180990.609539,0.195787712931633,170.64699578,513024.0,52.69530487060547,0.01497395895421505,0.3672141134738922,0.3672141134738922,31.2265625,513024.0,0.5243716239929199,0.22169166803359985,0.0,0.195787712931633,0.0,334,0.01497395895421505,0.22169166803359985,0.5243716239929199,2424,2424,333,1.0,0.0,1.0,0.0
369,52.69530487060547,30.330730438232422,1746181004.4846358,0.14992505311965942,184.522089591,566784.0,52.69530487060547,0.015625,0.37114593386650085,0.37114593386650085,30.330730438232422,566784.0,0.5243716239929199,0.4863877594470978,0.0,0.14992505311965942,0.0,369,0.015625,0.4863877594470978,0.5243716239929199,2704,2704,368,1.0,0.0,1.0,0.0
392,52.69530487060547,31.78645896911621,1746181013.6098154,0.16657188534736633,193.647312916,602112.0,52.69530487060547,0.014322916977107525,0.33874231576919556,0.33874231576919556,31.78645896911621,602112.0,0.5243716239929199,0.2565099000930786,0.0,0.16657188534736633,0.0,392,0.014322916977107525,0.2565099000930786,0.5243716239929199,2888,2888,391,1.0,0.0,1.0,0.0
