rng1604522687/update_steps,_runtime,env_step,returned_won_episode,rng1604522687/env_step,rng1604522687/returned_episode,test_returned_episode_lengths,loss,returned_episode_returns,qvals,test_returned_episode,rng1604522687/test_returned_episode_lengths,rng1604522687/test_returned_episode,test_returned_episode_returns,update_steps,rng1604522687/returned_episode_lengths,rng1604522687/qvals,test_returned_won_episode,returned_episode_lengths,rng1604522687/test_returned_episode_returns,rng1604522687/returned_won_episode,rng1604522687/loss,rng1604522687/returned_episode_returns,_timestamp,grad_steps,rng1604522687/test_returned_won_episode,returned_episode,rng1604522687/grad_steps,_step
12,63.320828327,18432.0,0.0,18432.0,0.01497395895421505,39.725955963134766,0.0,0.11060335487127304,0.0,1.0,39.725955963134766,1.0,0.11651697754859924,12,30.010417938232422,0.0,0.0,30.010417938232422,0.11651697754859924,0.0,0.0,0.11060335487127304,1746181523.4283872,0,0.0,0.01497395895421505,0,11
23,64.057152352,35328.0,0.0,35328.0,0.015625,39.725955963134766,0.0,0.12005537003278732,0.0,1.0,39.725955963134766,1.0,0.11651697754859924,23,31.34375,0.0,0.0,31.34375,0.11651697754859924,0.0,0.0,0.12005537003278732,1746181524.1647289,0,0.0,0.015625,0,22
24,64.124053093,36864.0,0.0,36864.0,0.01497395895421505,39.725955963134766,0.0,0.10179322957992554,0.0,1.0,39.725955963134766,1.0,0.11651697754859924,24,30.760417938232422,0.0,0.0,30.760417938232422,0.11651697754859924,0.0,0.0,0.10179322957992554,1746181524.2316368,0,0.0,0.01497395895421505,0,23
50,72.052077172,76800.0,0.0,76800.0,0.014322916977107525,39.725955963134766,0.0027146884240210056,0.11842771619558334,0.3808962404727936,1.0,39.725955963134766,1.0,0.11651697754859924,50,30.43489646911621,0.3808962404727936,0.0,30.43489646911621,0.11651697754859924,0.0,0.0027146884240210056,0.11842771619558334,1746181532.1595364,152,0.0,0.014322916977107525,152,49
86,86.185693292,132096.0,0.0,132096.0,0.015625,39.725955963134766,0.007849748246371746,0.13331139087677002,0.7318125367164612,1.0,39.725955963134766,1.0,0.11651697754859924,86,30.537761688232422,0.7318125367164612,0.0,30.537761688232422,0.11651697754859924,0.0,0.007849748246371746,0.13331139087677002,1746181546.2932112,440,0.0,0.015625,440,85
90,87.757839005,138240.0,0.0,138240.0,0.015625,39.725955963134766,0.007082954980432987,0.14205536246299744,0.7420420050621033,1.0,39.725955963134766,1.0,0.11651697754859924,90,31.6484375,0.7420420050621033,0.0,31.6484375,0.11651697754859924,0.0,0.007082954980432987,0.14205536246299744,1746181547.865385,472,0.0,0.015625,472,89
100,91.685112094,153600.0,0.0,153600.0,0.015625,39.725955963134766,0.009298102930188179,0.1385062038898468,0.6390347480773926,1.0,39.725955963134766,1.0,0.11651697754859924,100,31.080730438232422,0.6390347480773926,0.0,31.080730438232422,0.11651697754859924,0.0,0.009298102930188179,0.1385062038898468,1746181551.7926106,552,0.0,0.015625,552,99
102,92.47076837,156672.0,0.0,156672.0,0.015625,39.725955963134766,0.028039634227752686,0.148875430226326,0.6717438697814941,1.0,39.725955963134766,1.0,0.11651697754859924,102,30.83203125,0.6717438697814941,0.0,30.83203125,0.11651697754859924,0.0,0.028039634227752686,0.148875430226326,1746181552.5782652,568,0.0,0.015625,568,101
105,93.644609405,161280.0,0.0,161280.0,0.015625,39.725955963134766,0.013785544782876968,0.15901494026184082,0.6642116904258728,1.0,39.725955963134766,1.0,0.11651697754859924,105,31.5390625,0.6642116904258728,0.0,31.5390625,0.11651697754859924,0.0,0.013785544782876968,0.15901494026184082,1746181553.7521043,592,0.0,0.015625,592,104
133,104.636421912,204288.0,0.0,204288.0,0.01497395895421505,39.725955963134766,0.04803694784641266,0.1465359330177307,0.7731404304504395,1.0,39.725955963134766,1.0,0.11651697754859924,133,31.17708396911621,0.7731404304504395,0.0,31.17708396911621,0.11651697754859924,0.0,0.04803694784641266,0.1465359330177307,1746181564.7439477,816,0.0,0.01497395895421505,816,132
167,118.013831318,256512.0,0.0,256512.0,0.013671875,39.725955963134766,0.09240590035915375,0.164571151137352,0.5433034896850586,1.0,39.725955963134766,1.0,0.11651697754859924,167,31.03255271911621,0.5433034896850586,0.0,31.03255271911621,0.11651697754859924,0.0,0.09240590035915375,0.164571151137352,1746181578.1213484,1088,0.0,0.013671875,1088,166
