_runtime,update_steps,test_returned_won_episode,returned_episode_returns,test_returned_episode_returns,returned_episode_lengths,env_step,returned_episode,grad_steps,test_returned_episode_lengths,qvals,test_returned_episode,_step,_timestamp,loss,returned_won_episode
80.029396057,4,0.0,0.12180329114198685,0.10344257205724716,29.623699188232422,6144.0,0.01497395895421505,0,38.689125061035156,0.0,1.0,3,1746164248.0288029,0.0,0.0
80.828801403,17,0.0,0.10847136378288269,0.10344257205724716,30.654949188232422,26112.0,0.014322916977107525,0,38.689125061035156,0.0,1.0,16,1746164248.8280883,0.0,0.0
83.020547047,35,0.0,0.1152782216668129,0.10344257205724716,30.378908157348633,53760.0,0.01497395895421505,32,38.689125061035156,0.2455439567565918,1.0,34,1746164251.0199468,0.006336590275168419,0.0
85.326832442,42,0.0,0.12493820488452911,0.10344257205724716,30.475261688232422,64512.0,0.01497395895421505,88,38.689125061035156,0.27250251173973083,1.0,41,1746164253.32616,0.0150644201785326,0.0
87.632361298,49,0.0,0.14565734565258026,0.10344257205724716,30.776042938232422,75264.0,0.01302083395421505,144,38.689125061035156,0.4146604835987091,1.0,48,1746164255.6318376,0.005325899459421635,0.0
90.270494831,57,0.0,0.15768153965473175,0.10344257205724716,30.230470657348633,87552.0,0.01302083395421505,208,38.689125061035156,0.5916479229927063,1.0,56,1746164258.26999,0.007983856834471226,0.0
91.263537251,60,0.0,0.1509028971195221,0.10344257205724716,31.389324188232422,92160.0,0.013671875931322575,232,38.689125061035156,0.5738913416862488,1.0,59,1746164259.262793,0.007215727120637894,0.0
92.253498864,63,0.0,0.16335059702396393,0.10344257205724716,30.531251907348633,96768.0,0.01302083395421505,256,38.689125061035156,0.6837277412414551,1.0,62,1746164260.252872,0.015451734885573387,0.0
99.522632658,85,0.0,0.18201710283756256,0.10344257205724716,31.354167938232422,130560.0,0.01497395895421505,432,38.689125061035156,0.774885892868042,1.0,84,1746164267.5221388,0.015227598138153553,0.0
108.757708979,113,0.0,0.20111949741840363,0.10344257205724716,31.562501907348633,173568.0,0.01497395895421505,656,38.689125061035156,0.768064022064209,1.0,112,1746164276.757056,0.042530305683612823,0.0
109.418682428,115,0.0,0.20409619808197021,0.10344257205724716,31.966148376464844,176640.0,0.014322916977107525,672,38.689125061035156,0.7578215599060059,1.0,114,1746164277.4176688,0.031104102730751038,0.0
115.37566778,133,0.0,0.1836199164390564,0.10344257205724716,31.727867126464844,204288.0,0.014322916977107525,816,38.689125061035156,0.7435868978500366,1.0,132,1746164283.3751054,0.06876274198293686,0.0
117.700752319,140,0.0,0.18892362713813782,0.10344257205724716,31.289064407348633,215040.0,0.014322916977107525,872,38.689125061035156,0.58326256275177,1.0,139,1746164285.7001836,0.036689773201942444,0.0
122.681586929,155,0.0,0.20293615758419037,0.10344257205724716,31.880210876464844,238080.0,0.01302083395421505,992,38.689125061035156,0.5942680835723877,1.0,154,1746164290.6809096,0.05835925042629242,0.0
123.335955611,157,0.0,0.19086942076683044,0.10344257205724716,31.483074188232422,241152.0,0.012369791977107525,1008,38.689125061035156,0.5936956405639648,1.0,156,1746164291.335327,0.05495460331439972,0.0
124.972898964,162,0.0,0.20615500211715698,0.10344257205724716,31.467449188232422,248832.0,0.014322916977107525,1048,38.689125061035156,0.6082909107208252,1.0,161,1746164292.9723907,0.09044286608695984,0.0
129.909259463,177,0.0,0.2179001420736313,0.10344257205724716,31.721355438232422,271872.0,0.014322916977107525,1168,38.689125061035156,0.5472047328948975,1.0,176,1746164297.908757,0.10215440392494202,0.0
133.879134947,189,0.0,0.20875152945518494,0.10344257205724716,31.305992126464844,290304.0,0.014322916977107525,1264,38.689125061035156,0.6810852885246277,1.0,188,1746164301.8783274,0.13141749799251556,0.0
136.836066673,198,0.0,0.23356907069683075,0.10344257205724716,31.467449188232422,304128.0,0.01497395895421505,1336,38.689125061035156,0.7576639652252197,1.0,197,1746164304.8354583,0.13576221466064453,0.0
139.489053219,206,0.0,0.2282858043909073,0.10344257205724716,31.941408157348633,316416.0,0.01497395895421505,1400,38.689125061035156,0.679095983505249,1.0,205,1746164307.4883468,0.15753087401390076,0.0
144.054693708,220,0.0,0.2190660983324051,0.10344257205724716,31.584636688232422,337920.0,0.01497395895421505,1512,38.689125061035156,0.7586040496826172,1.0,219,1746164312.0543504,0.1252320408821106,0.0
144.389265435,221,0.0,0.2254217267036438,0.10344257205724716,31.158855438232422,339456.0,0.014322916977107525,1520,38.689125061035156,0.7667006254196167,1.0,220,1746164312.3888135,0.12970012426376343,0.0
151.606693241,243,0.0,0.2519873380661011,0.10344257205724716,31.912761688232422,373248.0,0.01497395895421505,1696,38.689125061035156,0.8229499459266663,1.0,242,1746164319.6063871,0.3394629955291748,0.0
155.916435697,256,0.0,0.20173591375350952,0.10344257205724716,32.153648376464844,393216.0,0.014322916977107525,1800,38.689125061035156,0.788017749786377,1.0,255,1746164323.9161403,0.2981439232826233,0.0
157.542588617,261,0.0,0.23307521641254425,0.10344257205724716,31.817710876464844,400896.0,0.01497395895421505,1840,38.689125061035156,0.7825586199760437,1.0,260,1746164325.5422602,0.25077036023139954,0.0
158.84921017,265,0.0,0.25415149331092834,0.10344257205724716,31.941408157348633,407040.0,0.013671875931322575,1872,38.689125061035156,0.792039155960083,1.0,264,1746164326.8489559,0.23224593698978424,0.0
160.842140738,271,0.0,0.26448288559913635,0.10344257205724716,31.919273376464844,416256.0,0.015625,1920,38.689125061035156,0.7367265224456787,1.0,270,1746164328.8417037,0.31402403116226196,0.0
172.300477783,306,0.0,0.24089747667312622,0.10344257205724716,32.16015625,470016.0,0.014322916977107525,2200,38.689125061035156,0.7297993302345276,1.0,305,1746164340.3001492,0.4864061176776886,0.0
173.935542963,311,0.0,0.2412927746772766,0.10344257205724716,32.20963668823242,477696.0,0.013671875931322575,2240,38.689125061035156,0.7217552065849304,1.0,310,1746164341.935196,0.5706610679626465,0.0
176.911324069,320,0.0,0.22958533465862274,0.10344257205724716,31.959636688232422,491520.0,0.013671875931322575,2312,38.689125061035156,0.699992299079895,1.0,319,1746164344.9110348,0.48643243312835693,0.0
178.611091878,325,0.006472491659224033,0.21142622828483582,0.5710023641586304,32.08463668823242,499200.0,0.015625,2352,57.78640365600586,0.6761088371276855,0.9999999403953552,324,1746164346.6108,0.45499634742736816,0.0
181.246426745,333,0.006472491659224033,0.20627188682556152,0.5710023641586304,31.988283157348633,511488.0,0.01497395895421505,2416,57.78640365600586,0.6533988118171692,0.9999999403953552,332,1746164349.2461421,0.42224881052970886,0.0
186.823068972,350,0.006472491659224033,0.18713107705116272,0.5710023641586304,31.778648376464844,537600.0,0.015625,2552,57.78640365600586,0.6568822860717773,0.9999999403953552,349,1746164354.82274,0.4116423726081848,0.0
192.742298754,368,0.006472491659224033,0.08351878076791763,0.5710023641586304,27.976564407348633,565248.0,0.02083333395421505,2696,57.78640365600586,0.6180512309074402,0.9999999403953552,367,1746164360.741995,0.2503335177898407,0.0
195.346563939,376,0.006472491659224033,0.14356261491775513,0.5710023641586304,31.473960876464844,577536.0,0.013671875931322575,2760,57.78640365600586,0.5910640954971313,0.9999999403953552,375,1746164363.3461773,0.17535096406936646,0.0
205.525803966,407,0.006472491659224033,0.08426801860332489,0.5710023641586304,30.617189407348633,625152.0,0.01302083395421505,3008,57.78640365600586,0.7338346242904663,0.9999999403953552,406,1746164373.5253508,0.3370404541492462,0.0
206.182390228,409,0.006472491659224033,0.17876428365707397,0.5710023641586304,31.872398376464844,628224.0,0.01302083395421505,3024,57.78640365600586,0.7624448537826538,0.9999999403953552,408,1746164374.1820054,0.3713580071926117,0.0
213.507922122,431,0.006472491659224033,0.07209853827953339,0.5710023641586304,30.580730438232422,662016.0,0.01497395895421505,3200,57.78640365600586,0.7869207262992859,0.9999999403953552,430,1746164381.5076144,0.39315730333328247,0.0
215.133998892,436,0.006472491659224033,0.10951292514801025,0.5710023641586304,31.511720657348633,669696.0,0.014322916977107525,3240,57.78640365600586,0.7549602389335632,0.9999999403953552,435,1746164383.1336353,0.3443775773048401,0.0
219.075694649,448,0.006472491659224033,0.09025949984788895,0.5710023641586304,29.082033157348633,688128.0,0.01497395895421505,3336,57.78640365600586,0.8863339424133301,0.9999999403953552,447,1746164387.0753975,0.368958979845047,0.0
224.040374944,463,0.006472491659224033,0.11115093529224396,0.5710023641586304,31.993492126464844,711168.0,0.014322916977107525,3456,57.78640365600586,0.8299327492713928,0.9999999403953552,462,1746164392.0400887,0.7223049998283386,0.0
236.160577698,500,0.006472491659224033,0.09241966158151627,0.5710023641586304,30.291017532348633,768000.0,0.015625,3752,57.78640365600586,0.7351311445236206,0.9999999403953552,499,1746164404.1602814,0.45427560806274414,0.0
238.441351876,507,0.006472491659224033,0.12576518952846527,0.5710023641586304,32.15494918823242,778752.0,0.012369791977107525,3808,57.78640365600586,0.7700479030609131,0.9999999403953552,506,1746164406.441009,0.2661289572715759,0.0
241.408247708,516,0.006472491659224033,0.07113075256347656,0.5710023641586304,31.984376907348633,792576.0,0.01497395895421505,3880,57.78640365600586,0.9585699439048767,0.9999999403953552,515,1746164409.4078016,0.38608303666114807,0.0
245.350342844,528,0.006472491659224033,0.07332964241504669,0.5710023641586304,31.197917938232422,811008.0,0.015625,3976,57.78640365600586,0.9094586372375488,0.9999999403953552,527,1746164413.3500466,0.45670416951179504,0.0
249.938680825,542,0.006472491659224033,0.0826052576303482,0.5710023641586304,31.915367126464844,832512.0,0.014322916977107525,4088,57.78640365600586,0.9175733327865601,0.9999999403953552,541,1746164417.9383416,0.2811514139175415,0.0
259.427286349,571,0.006472491659224033,0.09661394357681274,0.5710023641586304,32.13151168823242,877056.0,0.013671875931322575,4320,57.78640365600586,0.8243966698646545,0.9999999403953552,570,1746164427.4270275,0.5088059902191162,0.0
260.08080557,573,0.006472491659224033,0.09997005760669708,0.5710023641586304,31.145835876464844,880128.0,0.015625,4336,57.78640365600586,0.8197293281555176,0.9999999403953552,572,1746164428.0804098,0.7299242615699768,0.0
262.389176213,580,0.006472491659224033,0.045973040163517,0.5710023641586304,31.393230438232422,890880.0,0.01302083395421505,4392,57.78640365600586,0.8864626884460449,0.9999999403953552,579,1746164430.3887904,0.8188284635543823,0.0
279.404682625,632,0.006472491659224033,0.06729573756456375,0.5710023641586304,32.122398376464844,970752.0,0.01497395895421505,4808,57.78640365600586,1.1581016778945923,0.9999999403953552,631,1746164447.4043293,0.29230189323425293,0.0
281.708951142,639,0.006472491659224033,0.049693744629621506,0.5710023641586304,32.329429626464844,981504.0,0.010416666977107525,4864,57.78640365600586,1.1047961711883545,0.9999999403953552,638,1746164449.7086713,0.8504852652549744,0.0
284.324621153,647,0.006472491659224033,0.016282228752970695,0.5710023641586304,32.360679626464844,993792.0,0.014322916977107525,4928,57.78640365600586,1.1267633438110352,0.9999999403953552,646,1746164452.3242154,0.3478202819824219,0.0
303.102082638,704,0.0,0.11658518016338348,0.02676895633339882,32.12369918823242,1081344.0,0.011718750931322575,5384,65.7862548828125,1.1569122076034546,1.0,703,1746164471.1017866,0.21003133058547974,0.0
303.42937338,705,0.0,0.07167193293571472,0.02676895633339882,32.41015625,1082880.0,0.01302083395421505,5392,65.7862548828125,1.1492228507995605,1.0,704,1746164471.4289496,0.23083195090293884,0.0
305.750258213,712,0.0,0.10647809505462646,0.02676895633339882,32.12890625,1093632.0,0.01302083395421505,5448,65.7862548828125,1.1354633569717407,1.0,711,1746164473.7499018,0.37355682253837585,0.0
306.081523469,713,0.0,0.16855968534946442,0.02676895633339882,32.16276168823242,1095168.0,0.01497395895421505,5456,65.7862548828125,1.1327167749404907,1.0,712,1746164474.0811708,0.3434301018714905,0.0
