update_steps,test_returned_episode_lengths,returned_episode_lengths,_timestamp,returned_episode_returns,_runtime,env_step,returned_episode,qvals,test_returned_episode_returns,loss,returned_won_episode,test_returned_won_episode,grad_steps,_step,test_returned_episode
5,16.191984176635742,30.96224021911621,1746180868.6633546,0.09794847667217255,48.700809217,7680.0,0.015625,0.0,0.001934628700837493,0.0,0.0,0.0,0,4,1.0000001192092896
10,16.191984176635742,30.4765625,1746180868.9922793,0.09570306539535522,49.029735416,15360.0,0.01497395895421505,0.0,0.001934628700837493,0.0,0.0,0.0,0,9,1.0000001192092896
13,16.191984176635742,29.6875,1746180869.1895645,0.0999310314655304,49.22703359,19968.0,0.015625,0.0,0.001934628700837493,0.0,0.0,0.0,0,12,1.0000001192092896
17,16.191984176635742,30.18880271911621,1746180869.4526715,0.09462230652570724,49.490124968,26112.0,0.015625,0.0,0.001934628700837493,0.0,0.0,0.0,0,16,1.0000001192092896
21,16.191984176635742,30.7265625,1746180869.7182965,0.09744952619075775,49.755752325,32256.0,0.013671875,0.0,0.001934628700837493,0.0,0.0,0.0,0,20,1.0000001192092896
25,16.191984176635742,30.265625,1746180869.9815032,0.10946651548147202,50.018956115,38400.0,0.015625,0.0,0.001934628700837493,0.0,0.0,0.0,0,24,1.0000001192092896
26,16.191984176635742,31.186199188232422,1746180870.0473073,0.10804103314876556,50.084741553,39936.0,0.01302083395421505,0.0,0.001934628700837493,0.0,0.0,0.0,0,25,1.0000001192092896
59,16.191984176635742,31.44661521911621,1746180881.4756668,0.13214528560638428,61.513121169,90624.0,0.015625,0.49258577823638916,0.001934628700837493,0.003674157429486513,0.0,0.0,224,58,1.0000001192092896
64,16.191984176635742,30.565105438232422,1746180883.4570658,0.1260136365890503,63.494525313,98304.0,0.014322916977107525,0.5573625564575195,0.001934628700837493,0.005668002180755138,0.0,0.0,264,63,1.0000001192092896
70,16.191984176635742,30.703125,1746180885.8351176,0.14096346497535706,65.872573021,107520.0,0.014322916977107525,0.5817985534667969,0.001934628700837493,0.004363485611975193,0.0,0.0,312,69,1.0000001192092896
73,16.191984176635742,30.42578125,1746180887.023898,0.12169510126113892,67.061363745,112128.0,0.012369791977107525,0.6229224801063538,0.001934628700837493,0.011683657765388489,0.0,0.0,336,72,1.0000001192092896
100,16.191984176635742,30.9921875,1746180897.733436,0.1438673734664917,77.770896615,153600.0,0.014322916977107525,0.6645946502685547,0.001934628700837493,0.009082779288291931,0.0,0.0,552,99,1.0000001192092896
113,16.191984176635742,31.7734375,1746180902.8888898,0.15609849989414215,82.926339305,173568.0,0.01497395895421505,0.6745083332061768,0.001934628700837493,0.033780958503484726,0.0,0.0,656,112,1.0000001192092896
118,16.191984176635742,31.11849021911621,1746180904.8695354,0.1569346785545349,84.906977842,181248.0,0.01497395895421505,0.6408395767211914,0.001934628700837493,0.014820083975791931,0.0,0.0,696,117,1.0000001192092896
130,16.191984176635742,31.33203125,1746180909.626208,0.16309943795204163,89.663642465,199680.0,0.01497395895421505,0.6506091356277466,0.001934628700837493,0.01737305335700512,0.0,0.0,792,129,1.0000001192092896
141,16.191984176635742,31.088542938232422,1746180913.9893768,0.1561405062675476,94.026859879,216576.0,0.015625,0.5471216440200806,0.001934628700837493,0.032575082033872604,0.0,0.0,880,140,1.0000001192092896
160,16.191984176635742,31.36328125,1746180921.5265083,0.1742546260356903,101.563993478,245760.0,0.01497395895421505,0.40681779384613037,0.001934628700837493,0.0427992008626461,0.0,0.0,1032,159,1.0000001192092896
163,16.191984176635742,31.408855438232422,1746180922.7155638,0.17613333463668823,102.753023234,250368.0,0.01497395895421505,0.4535786509513855,0.001934628700837493,0.04410678148269653,0.0,0.0,1056,162,1.0000001192092896
