update_steps,_runtime,env_step,returned_won_episode,returned_episode,test_returned_episode_lengths,loss,returned_episode_returns,qvals,test_returned_episode,test_returned_episode_returns,returned_episode_lengths,test_returned_won_episode,_timestamp,grad_steps,_step
9,63.119544652,13824.0,0.0,0.01497395895421505,39.725955963134766,0.0,0.10423871129751205,0.0,1.0,0.11651697754859924,31.13671875,0.0,1746181523.227112,0,8
28,64.391698439,43008.0,0.0,0.013671875,39.725955963134766,0.0,0.1006319671869278,0.0,1.0,0.11651697754859924,30.44921875,0.0,1746181524.499268,0,27
34,65.771036135,52224.0,0.0,0.0162760429084301,39.725955963134766,0.00404629111289978,0.10574996471405029,0.26558804512023926,1.0,0.11651697754859924,30.660808563232422,0.0,1746181525.8785439,24,33
43,69.295673688,66048.0,0.0,0.01497395895421505,39.725955963134766,0.003762626787647605,0.11011339724063873,0.3321858048439026,1.0,0.11651697754859924,29.705730438232422,0.0,1746181529.4032223,96,42
60,75.970187185,92160.0,0.0,0.015625,39.725955963134766,0.0038422008510679007,0.12352871894836426,0.5491394996643066,1.0,0.11651697754859924,30.901042938232422,0.0,1746181536.07766,232,59
69,79.494016212,105984.0,0.0,0.015625,39.725955963134766,0.004661631304770708,0.14420363306999207,0.6284756660461426,1.0,0.11651697754859924,30.932292938232422,0.0,1746181539.6015885,304,68
86,86.185693292,132096.0,0.0,0.015625,39.725955963134766,0.007849748246371746,0.13331139087677002,0.7318125367164612,1.0,0.11651697754859924,30.537761688232422,0.0,1746181546.2932112,440,85
105,93.644609405,161280.0,0.0,0.015625,39.725955963134766,0.013785544782876968,0.15901494026184082,0.6642116904258728,1.0,0.11651697754859924,31.5390625,0.0,1746181553.7521043,592,104
116,97.972411692,178176.0,0.0,0.015625,39.725955963134766,0.015086149796843529,0.13947224617004395,0.6632704138755798,1.0,0.11651697754859924,31.420574188232422,0.0,1746181558.0797324,680,115
117,98.362024388,179712.0,0.0,0.01497395895421505,39.725955963134766,0.014711804687976837,0.15049074590206146,0.6616833209991455,1.0,0.11651697754859924,31.23046875,0.0,1746181558.4694757,688,116
125,101.496784727,192000.0,0.0,0.015625,39.725955963134766,0.017901882529258728,0.16090431809425354,0.6998814940452576,1.0,0.11651697754859924,31.71875,0.0,1746181561.6043158,752,124
149,110.943306035,228864.0,0.0,0.015625,39.725955963134766,0.018168335780501366,0.16158616542816162,0.7749256491661072,1.0,0.11651697754859924,31.12890625,0.0,1746181571.0507886,944,148
