grad_steps,_timestamp,returned_episode,test_returned_episode_lengths,qvals,env_step,test_returned_won_episode,returned_won_episode,test_returned_episode_returns,test_returned_episode,loss,_step,update_steps,_runtime,returned_episode_returns,returned_episode_lengths
0,1746455885.1193376,0.01822916604578495,28.47896957397461,0.0,18432.0,0.0,0.0,0.12465053796768188,1.0,0.0,11,12,47.418869009,0.14801041781902313,29.126953125
0,1746455885.5612185,0.01953125,28.47896957397461,0.0,30720.0,0.0,0.0,0.12465053796768188,1.0,0.0,19,20,47.860738055,0.15293055772781372,28.62239646911621
0,1746455885.6717505,0.01953125,28.47896957397461,0.0,33792.0,0.0,0.0,0.12465053796768188,1.0,0.0,21,22,47.971293082,0.15149737894535065,27.82747459411621
0,1746455885.7821877,0.02018229104578495,28.47896957397461,0.0,36864.0,0.0,0.0,0.12465053796768188,1.0,0.0,23,24,48.081727782,0.15561456978321075,27.34505271911621
0,1746455886.0032425,0.01953125,28.47896957397461,0.0,43008.0,0.0,0.0,0.12465053796768188,1.0,0.0,27,28,48.302766803,0.13477343320846558,26.57291603088379
0,1746455886.113715,0.017578125,28.47896957397461,0.0,46080.0,0.0,0.0,0.12465053796768188,1.0,0.0,29,30,48.413244885,0.15561631321907043,28.45963478088379
64,1746455888.5200787,0.01953125,28.47896957397461,0.16214397549629211,59904.0,0.0,0.0,0.12465053796768188,1.0,0.006462951190769672,38,39,50.819615797,0.16714930534362793,28.423828125
152,1746455891.7543526,0.01888020895421505,28.47896957397461,0.7101829051971436,76800.0,0.0,0.0,0.12465053796768188,1.0,0.005722105037420988,49,50,54.053844385,0.17589494585990906,29.798828125
192,1746455893.2216387,0.01822916604578495,28.47896957397461,0.8196871280670166,84480.0,0.0,0.0,0.12465053796768188,1.0,0.007089724764227867,54,55,55.521175044,0.1771814227104187,29.65234375
368,1746455899.6821978,0.017578125,28.47896957397461,0.946029543876648,118272.0,0.0,0.0,0.12465053796768188,1.0,0.00860618520528078,76,77,61.981703839,0.1558307260274887,29.27734375
