update_steps,loss,returned_won_episode,env_step,test_returned_episode,test_returned_episode_lengths,returned_episode,_step,qvals,returned_episode_lengths,test_returned_won_episode,test_returned_episode_returns,grad_steps,returned_episode_returns,_runtime,_timestamp
22,0.0,0.0,33792.0,1.0,9.851764678955078,0.021484375,21,0.0,28.232421875,0.0,0.00011371447908459231,0,0.1455390453338623,46.871237959,1746461817.7013218
54,0.008014566265046597,0.0,82944.0,1.0,9.851764678955078,0.01888020895421505,53,0.7453402876853943,27.044921875,0.0,0.00011371447908459231,184,0.170368030667305,54.126339152,1746461824.9563594
79,0.008598778396844864,0.0,121344.0,1.0,9.851764678955078,0.017578125,78,0.8914846181869507,27.99739646911621,0.0,0.00011371447908459231,384,0.16354946792125702,61.497194791,1746461832.3272383
90,0.00891895592212677,0.0,138240.0,1.0,9.851764678955078,0.01692708395421505,89,0.8984367847442627,29.029296875,0.0,0.00011371447908459231,472,0.16444703936576843,64.73516572,1746461835.5652301
106,0.012687617912888527,0.0,162816.0,1.0,9.851764678955078,0.01888020895421505,105,0.8383997678756714,28.94791603088379,0.0,0.00011371447908459231,600,0.17179860174655914,69.448191161,1746461840.2782185
127,0.01728096604347229,0.0,195072.0,1.0,9.851764678955078,0.01692708395421505,126,0.8514695763587952,29.72525978088379,0.0,0.00011371447908459231,768,0.19087153673171997,75.65343967,1746461846.4834664
136,0.018155232071876526,0.0,208896.0,1.0,9.851764678955078,0.01888020895421505,135,0.8461569547653198,28.89518165588379,0.0,0.00011371447908459231,840,0.21881508827209473,78.310049543,1746461849.140049
177,0.026110855862498283,0.0,271872.0,1.0,9.851764678955078,0.015625,176,0.7381588220596313,28.85807228088379,0.0,0.00011371447908459231,1168,0.18509981036186218,90.44918632,1746461861.2791538
181,0.02767672762274742,0.0,278016.0,1.0,9.851764678955078,0.01627604104578495,180,0.7421574592590332,29.72005271911621,0.0,0.00011371447908459231,1200,0.19320398569107056,91.631728985,1746461862.4615943
196,0.05700039118528366,0.0,301056.0,1.0,9.851764678955078,0.01692708395421505,195,0.5831135511398315,28.24088478088379,0.0,0.00011371447908459231,1320,0.16363975405693054,96.095641486,1746461866.9255233
199,0.030900772660970688,0.0,305664.0,1.0,9.851764678955078,0.01692708395421505,198,0.5650638341903687,29.01236915588379,0.0,0.00011371447908459231,1344,0.19455987215042114,96.984701359,1746461867.814697
202,0.04361564293503761,0.0,310272.0,1.0,9.851764678955078,0.015625,201,0.5946530103683472,29.82552146911621,0.0,0.00011371447908459231,1368,0.19831769168376923,97.869665245,1746461868.6996462
216,0.041351914405822754,0.0,331776.0,1.0,9.851764678955078,0.017578125,215,0.5812309980392456,29.09635353088379,0.0,0.00011371447908459231,1480,0.19764147698879242,102.042169713,1746461872.8720036
229,0.0464475080370903,0.0,351744.0,1.0,9.851764678955078,0.015625,228,0.5650511980056763,30.41731834411621,0.0,0.00011371447908459231,1584,0.17681683599948883,105.894160024,1746461876.7240436
258,0.06970677524805069,0.0,396288.0,1.0,9.851764678955078,0.014973958022892475,257,0.5324530601501465,30.38541603088379,0.0,0.00011371447908459231,1816,0.1674843579530716,114.459147974,1746461885.28864
