test_returned_episode,returned_episode,loss,test_returned_won_episode,returned_episode_lengths,test_returned_episode_lengths,_timestamp,test_returned_episode_returns,returned_episode_returns,returned_won_episode,env_step,qvals,grad_steps,update_steps,_step,_runtime
1.0,0.0234375,0.0,0.0,26.083984375,29.96730613708496,1746194698.5070133,0.15558122098445892,0.23836912214756012,0.0,44544.0,0.0,0,29,28,59.025168524
1.0,0.02213541604578495,0.007013464812189341,0.0,26.548828125,29.96730613708496,1746194703.9051483,0.15558122098445892,0.2682681977748871,0.0,69120.0,0.5128846764564514,112,45,44,64.423343134
1.0,0.025390625,0.005878433119505644,0.0,25.728515625,29.96730613708496,1746194706.1535149,0.15558122098445892,0.27964189648628235,0.0,78336.0,0.554307758808136,160,51,50,66.671718208
1.0,0.0234375,0.011881927028298378,0.0,26.29557228088379,29.96730613708496,1746194707.655439,0.15558122098445892,0.2943457067012787,0.0,84480.0,0.6804519295692444,192,55,54,68.173642995
1.0,0.02408854104578495,0.030814694240689278,0.0,26.087890625,29.96730613708496,1746194710.6680493,0.15558122098445892,0.27497392892837524,0.0,96768.0,0.7065750360488892,256,63,62,71.186239588
1.0,0.02604166604578495,0.029802799224853516,0.0,24.8203125,29.96730613708496,1746194715.2007892,0.15558122098445892,0.2888182997703552,0.0,115200.0,0.6418246030807495,352,75,74,75.719006126
1.0,0.02408854104578495,0.11565018445253372,0.0,25.57096290588379,29.96730613708496,1746194722.3827577,0.15558122098445892,0.28823238611221313,0.0,144384.0,0.4503893256187439,504,94,93,82.901018412
1.0,0.02408854104578495,0.3489449620246887,0.0,23.94400978088379,29.96730613708496,1746194733.3102207,0.15558122098445892,0.2748079299926758,0.0,188928.0,0.42976683378219604,736,123,122,93.828456921
1.0,0.02408854104578495,0.33267128467559814,0.0,25.46549415588379,29.96730613708496,1746194737.0749474,0.15558122098445892,0.31715166568756104,0.0,204288.0,0.41289713978767395,816,133,132,97.593164105
1.0,0.02473958395421505,0.3067328929901123,0.0,25.41275978088379,29.96730613708496,1746194738.2003992,0.15558122098445892,0.3200976252555847,0.0,208896.0,0.39435428380966187,840,136,135,98.718576459
1.0,0.02408854104578495,0.14945407211780548,0.0,25.31575584411621,29.96730613708496,1746194747.2884185,0.15558122098445892,0.3073144257068634,0.0,245760.0,0.3596057593822479,1032,160,159,107.806616406
1.0,0.0234375,0.15509286522865295,0.0,24.44856834411621,29.96730613708496,1746194755.987977,0.15558122098445892,0.29417964816093445,0.0,281088.0,0.42957937717437744,1216,183,182,116.506189015
1.0,0.02213541604578495,0.16350507736206055,0.0,26.33138084411621,29.96730613708496,1746194757.4973454,0.15558122098445892,0.326416015625,0.0,287232.0,0.4240231215953827,1248,187,186,118.015621808
1.0,0.02408854104578495,0.15134571492671967,0.0,25.13216209411621,29.96730613708496,1746194758.2755435,0.15558122098445892,0.3077864348888397,0.0,290304.0,0.42662835121154785,1264,189,188,118.793733831
1.0,0.025390625,0.13406899571418762,0.0,24.39322853088379,29.96730613708496,1746194760.1566885,0.15558122098445892,0.2922753691673279,0.0,297984.0,0.4314495921134949,1304,194,193,120.674901189
1.0,0.025390625,0.12647496163845062,0.0,25.20442771911621,29.96730613708496,1746194760.91302,0.15558122098445892,0.30099931359291077,0.0,301056.0,0.43433427810668945,1320,196,195,121.431243014
1.0,0.02604166604578495,0.12542973458766937,0.0,24.45182228088379,29.96730613708496,1746194761.6675632,0.15558122098445892,0.29880204796791077,0.0,304128.0,0.4367808401584625,1336,198,197,122.185773702
1.0,0.02473958395421505,0.10330277681350708,0.0,24.92317771911621,29.96730613708496,1746194763.9442523,0.15558122098445892,0.27203771471977234,0.0,313344.0,0.46713894605636597,1384,204,203,124.462464798
1.0,0.02604166604578495,0.17598643898963928,0.0,24.64388084411621,29.96730613708496,1746194784.7570705,0.15558122098445892,0.3185579180717468,0.0,397824.0,0.39581653475761414,1824,259,258,145.275279322
1.0,0.02604166604578495,0.44236645102500916,0.0,24.306640625,29.96730613708496,1746194791.9530485,0.15558122098445892,0.3125227987766266,0.0,427008.0,0.3677768111228943,1976,278,277,152.471388931
1.0,0.02408854104578495,0.420630544424057,0.0,25.79557228088379,29.96730613708496,1746194794.577937,0.15558122098445892,0.32467448711395264,0.0,437760.0,0.3521655797958374,2032,285,284,155.096155671
1.0,0.02604166604578495,0.37084025144577026,0.0,25.189453125,29.96730613708496,1746194801.384194,0.15558122098445892,0.3011458218097687,0.0,465408.0,0.3452184796333313,2176,303,302,161.902389962
1.0,0.02408854104578495,0.308149129152298,0.0,25.791015625,33.777645111083984,1746194811.6730223,0.39568135142326355,0.3121028244495392,0.0,506880.0,0.31629258394241333,2392,330,329,172.191207951
1.0,0.02408854104578495,0.26451176404953003,0.0,26.16731834411621,33.777645111083984,1746194823.0515032,0.39568135142326355,0.2747493386268616,0.0,552960.0,0.2835122346878052,2632,360,359,183.569854395
1.0,0.025390625,0.07499387860298157,0.0,25.28580665588379,33.777645111083984,1746194828.3547664,0.39568135142326355,0.34449541568756104,0.0,574464.0,0.25721266865730286,2744,374,373,188.87307612
1.0,0.025390625,0.11379339545965195,0.0,25.12109375,33.777645111083984,1746194829.1071348,0.39568135142326355,0.3249674439430237,0.0,577536.0,0.2657929062843323,2760,376,375,189.625377199
1.0,0.025390625,0.07433389872312546,0.0,25.27474021911621,33.777645111083984,1746194831.0125337,0.39568135142326355,0.28306639194488525,0.0,585216.0,0.2953343391418457,2800,381,380,191.530730995
1.0,0.02408854104578495,0.09065069258213043,0.0,25.03059959411621,33.777645111083984,1746194843.6682057,0.39568135142326355,0.33040687441825867,0.0,635904.0,0.2677116096019745,3064,414,413,204.186462997
1.0,0.02473958395421505,0.08424612134695053,0.0,24.94921875,33.777645111083984,1746194844.0500324,0.39568135142326355,0.34783852100372314,0.0,637440.0,0.27437305450439453,3072,415,414,204.568329018
1.0,0.025390625,0.08837646245956421,0.0,25.40690040588379,33.777645111083984,1746194847.4657345,0.39568135142326355,0.3502832055091858,0.0,651264.0,0.26116475462913513,3144,424,423,207.983929824
1.0,0.02604166604578495,0.08133463561534882,0.0,25.609375,33.777645111083984,1746194850.5130184,0.39568135142326355,0.3421451151371002,0.0,663552.0,0.23606982827186584,3208,432,431,211.031368375
1.0,0.0234375,0.07924790680408478,0.0,25.9609375,33.777645111083984,1746194852.7628157,0.39568135142326355,0.2987467348575592,0.0,672768.0,0.2187250554561615,3256,438,437,213.281052194
1.0,0.02408854104578495,0.08922623097896576,0.0,25.43684959411621,33.777645111083984,1746194859.943153,0.39568135142326355,0.3658658266067505,0.0,701952.0,0.09251236170530319,3408,457,456,220.461343443
1.0,0.021484375,0.07130269706249237,0.0,26.1796875,33.777645111083984,1746194872.4110286,0.39568135142326355,0.3052343428134918,0.0,752640.0,0.09073323756456375,3672,490,489,232.929224448
1.0,0.0234375,0.06870729476213455,0.0,26.49544334411621,33.777645111083984,1746194878.4759674,0.39568135142326355,0.3332747519016266,0.0,777216.0,0.11133523285388947,3800,506,505,238.994174077
1.0,0.01888020895421505,0.04671413451433182,0.0,25.08072853088379,33.777645111083984,1746194889.815202,0.39568135142326355,0.2825292646884918,0.0,823296.0,0.06728540360927582,4040,536,535,250.333384489
1.0,0.02083333395421505,0.04998402297496796,0.0,27.296875,33.777645111083984,1746194892.0680985,0.39568135142326355,0.3424283564090729,0.0,832512.0,0.08222691714763641,4088,542,541,252.586330143
1.0,0.02473958395421505,0.06954260170459747,0.0,24.8515625,33.777645111083984,1746194911.0693383,0.39568135142326355,0.19042642414569855,0.0,909312.0,0.01533354539424181,4488,592,591,271.587534106
1.0,0.01822916604578495,0.05708623677492142,0.0,26.80013084411621,33.777645111083984,1746194917.8543289,0.39568135142326355,0.2721939980983734,0.0,936960.0,-0.05720430612564087,4632,610,609,278.372533272
1.0,0.021484375,0.055272478610277176,0.0,26.884765625,33.777645111083984,1746194918.229847,0.39568135142326355,0.3330598771572113,0.0,938496.0,-0.05302446708083153,4640,611,610,278.748046611
1.0,0.02018229104578495,0.057203859090805054,0.0,27.11588478088379,33.777645111083984,1746194924.2762935,0.39568135142326355,0.3393944799900055,0.0,963072.0,-0.061218418180942535,4768,627,626,284.79453245
1.0,0.02278645895421505,0.05676361173391342,0.0,25.56380271911621,51.18288803100586,1746194935.7174711,0.4974544942378998,0.451995313167572,0.0,1009152.0,-0.07800396531820297,5008,657,656,296.235791151
1.0,0.021484375,0.060403645038604736,0.0,26.16080665588379,51.18288803100586,1746194937.6056435,0.4974544942378998,0.3469856381416321,0.0,1016832.0,-0.08037793636322021,5048,662,661,298.123882982
1.0,0.01692708395421505,0.04839356616139412,0.0,29.22786521911621,51.18288803100586,1746194950.8328326,0.4974544942378998,0.26536130905151367,0.0,1070592.0,-0.11801813542842865,5328,697,696,311.351052651
1.0,0.01627604104578495,0.04813205450773239,0.0,25.99934959411621,51.18288803100586,1746194958.015693,0.4974544942378998,0.3787824809551239,0.0,1099776.0,-0.10647254437208176,5480,716,715,318.533896748
1.0,0.015625,0.045449238270521164,0.0,26.19791603088379,51.18288803100586,1746194959.9224374,0.4974544942378998,0.339576780796051,0.0,1107456.0,-0.10591020435094833,5520,721,720,320.440658685
1.0,0.010416666977107525,0.04308552294969559,0.0,27.40625,51.18288803100586,1746194962.5522945,0.4974544942378998,0.22265948355197906,0.0,1118208.0,-0.11767695844173431,5576,728,727,323.070500807
1.0,0.015625,0.14689797163009644,0.0,27.34440040588379,51.18288803100586,1746194964.8120043,0.4974544942378998,0.2537369430065155,0.0,1127424.0,-0.09415063261985779,5624,734,733,325.330239801
1.0,0.013020833022892475,0.035606302320957184,0.0,25.6015625,51.18288803100586,1746194970.1228404,0.4974544942378998,0.2815559506416321,0.0,1148928.0,-0.1545388102531433,5736,748,747,330.641041912
1.0,0.01627604104578495,0.07153826951980591,0.0,27.9765625,51.18288803100586,1746194975.7958782,0.4974544942378998,0.36411452293395996,0.0,1171968.0,-0.15484295785427094,5856,763,762,336.31407442
1.0,0.015625,0.06612807512283325,0.0,27.68619728088379,51.18288803100586,1746194980.337853,0.4974544942378998,0.31268876791000366,0.0,1190400.0,-0.16266685724258423,5952,775,774,340.856098141
1.0,0.014973958022892475,0.04250730946660042,0.0,27.62434959411621,51.18288803100586,1746194985.9860616,0.4974544942378998,0.310800701379776,0.0,1213440.0,-0.16112422943115234,6072,790,789,346.504357199
1.0,0.011067708022892475,0.05683794990181923,0.0,27.76432228088379,51.18288803100586,1746194989.7978094,0.4974544942378998,0.26521480083465576,0.0,1228800.0,-0.1518663763999939,6152,800,799,350.316026594
1.0,0.014322916977107525,0.038536302745342255,0.0,25.81184959411621,51.18288803100586,1746195000.0055568,0.4974544942378998,0.3647264838218689,0.0,1270272.0,-0.18217220902442932,6368,827,826,360.523764923
1.0,0.012369791977107525,0.033870577812194824,0.0,24.74088478088379,51.18288803100586,1746195002.2985375,0.4974544942378998,0.28061193227767944,0.0,1279488.0,-0.1861216127872467,6416,833,832,362.816870609
1.0,0.015625,0.049774326384067535,0.0,28.09309959411621,51.18288803100586,1746195007.2248418,0.4974544942378998,0.40731436014175415,0.0,1299456.0,-0.1574835479259491,6520,846,845,367.743044787
1.0,0.014322916977107525,0.03160461038351059,0.0,25.44205665588379,51.18288803100586,1746195010.2582338,0.4974544942378998,0.3243846893310547,0.0,1311744.0,-0.18339942395687103,6584,854,853,370.776592443
1.0,0.014322916977107525,0.032549142837524414,0.0,25.814453125,51.18288803100586,1746195011.414977,0.4974544942378998,0.40261709690093994,0.0,1316352.0,-0.18301621079444885,6608,857,856,371.933327388
1.0,0.009765625,0.034645646810531616,0.0,24.83463478088379,51.18288803100586,1746195019.7942517,0.4974544942378998,0.20996417105197906,0.0,1350144.0,-0.19169849157333374,6784,879,878,380.312460395
1.0,0.014322916977107525,0.03189345821738243,0.0,27.38541603088379,51.18288803100586,1746195020.9214568,0.4974544942378998,0.3771776258945465,0.0,1354752.0,-0.18239429593086243,6808,882,881,381.439666112
1.0,0.013020833022892475,0.032014694064855576,0.0,25.12630271911621,51.18288803100586,1746195021.670848,0.4974544942378998,0.32675448060035706,0.0,1357824.0,-0.19604624807834625,6824,884,883,382.189031162
1.0,0.013020833022892475,0.03338082879781723,0.0,25.48763084411621,51.18288803100586,1746195022.7998748,0.4974544942378998,0.3485448360443115,0.0,1362432.0,-0.190962553024292,6848,887,886,383.31812525
1.0,0.008463541977107525,0.04230324178934097,0.0,23.421875,51.18288803100586,1746195032.6113193,0.4974544942378998,0.180790975689888,0.0,1402368.0,-0.24784766137599945,7056,913,912,393.129541899
1.0,0.015625,0.04216139018535614,0.0,28.28255271911621,51.18288803100586,1746195033.362626,0.4974544942378998,0.24698564410209656,0.0,1405440.0,-0.25975173711776733,7072,915,914,393.880853439
1.0,0.02018229104578495,0.034561701118946075,0.0,27.080078125,51.18288803100586,1746195034.1158571,0.4974544942378998,0.3700845539569855,0.0,1408512.0,-0.24623826146125793,7088,917,916,394.634161993
1.0,0.01171875,0.038050971925258636,0.0,22.40299415588379,51.18288803100586,1746195035.6541026,0.4974544942378998,0.22303707897663116,0.0,1414656.0,-0.26143109798431396,7120,921,920,396.172353475
1.0,0.011067708022892475,0.04138537496328354,0.0,25.92252540588379,51.18288803100586,1746195039.412184,0.4974544942378998,0.26185867190361023,0.0,1430016.0,-0.26693278551101685,7200,931,930,399.930394637
1.0,0.0078125,0.03512802720069885,0.0,25.0859375,51.18288803100586,1746195044.3467124,0.4974544942378998,0.2111685872077942,0.0,1449984.0,-0.2671314775943756,7304,944,943,404.864939941
1.0,0.011067708022892475,0.02910534106194973,0.0,26.232421875,51.18288803100586,1746195055.6787827,0.4974544942378998,0.355618417263031,0.0,1496064.0,-0.22694623470306396,7544,974,973,416.197122097
0.9999999403953552,0.011067708022892475,0.030652809888124466,0.0015384615398943424,28.74739646911621,67.39230346679688,1746195059.5512934,0.6562843918800354,0.3555207848548889,0.0,1511424.0,-0.24391284584999084,7624,984,983,420.069574181
0.9999999403953552,0.009765625,0.07075756788253784,0.0015384615398943424,24.67057228088379,67.39230346679688,1746195065.218545,0.6562843918800354,0.20803706347942352,0.0,1534464.0,-0.2647199034690857,7744,999,998,425.736745901
0.9999999403953552,0.010416666977107525,0.03462660685181618,0.0015384615398943424,24.92578125,67.39230346679688,1746195067.0961916,0.6562843918800354,0.34054678678512573,0.0,1542144.0,-0.2635134756565094,7784,1004,1003,427.614388077
0.9999999403953552,0.009765625,0.030981890857219696,0.0015384615398943424,27.91796875,67.39230346679688,1746195071.2637777,0.6562843918800354,0.3140266239643097,0.0,1559040.0,-0.27928656339645386,7872,1015,1014,431.781988559
0.9999999403953552,0.008463541977107525,0.028421811759471893,0.0015384615398943424,24.05729103088379,67.39230346679688,1746195079.956205,0.6562843918800354,0.27077141404151917,0.0,1594368.0,-0.29094433784484863,8056,1038,1037,440.474421257
0.9999999403953552,0.01953125,0.034259360283613205,0.0015384615398943424,26.05143165588379,67.39230346679688,1746195085.9941707,0.6562843918800354,0.4768814444541931,0.0,1618944.0,-0.29319241642951965,8184,1054,1053,446.512397089
0.9999999403953552,0.01171875,0.037882037460803986,0.0015384615398943424,28.07161521911621,67.39230346679688,1746195090.538299,0.6562843918800354,0.34892570972442627,0.0,1637376.0,-0.3043671250343323,8280,1066,1065,451.056542839
0.9999999403953552,0.008463541977107525,0.03813119977712631,0.0015384615398943424,24.74349021911621,67.39230346679688,1746195098.0802894,0.6562843918800354,0.21374018490314484,0.0,1668096.0,-0.3205389678478241,8440,1086,1085,458.598500509
0.9999999403953552,0.008463541977107525,0.0296868197619915,0.0015384615398943424,28.90885353088379,67.39230346679688,1746195102.2193985,0.6562843918800354,0.26826491951942444,0.0,1684992.0,-0.34078747034072876,8528,1097,1096,462.737629075
0.9999999403953552,0.0078125,0.028829846531152725,0.0015384615398943424,23.35025978088379,67.39230346679688,1746195111.2980323,0.6562843918800354,0.21363602578639984,0.0,1721856.0,-0.33969318866729736,8720,1121,1120,471.816277223
0.9999999403953552,0.008463541977107525,0.025876786559820175,0.0015384615398943424,24.25130271911621,67.39230346679688,1746195111.6735375,0.6562843918800354,0.24592119455337524,0.0,1723392.0,-0.3427453637123108,8728,1122,1121,472.191945166
0.9999999403953552,0.0078125,0.03293246775865555,0.0015384615398943424,24.27994728088379,67.39230346679688,1746195114.707312,0.6562843918800354,0.22852209210395813,0.0,1735680.0,-0.351814329624176,8792,1130,1129,475.225564777
0.9999999403953552,0.008463541977107525,0.03330995887517929,0.0015384615398943424,22.96354103088379,67.39230346679688,1746195115.8466878,0.6562843918800354,0.20727209746837616,0.02278645895421505,1740288.0,-0.3511955738067627,8816,1133,1132,476.364927077
0.9999999403953552,0.01171875,0.03551517426967621,0.0015384615398943424,27.49739646911621,67.39230346679688,1746195124.5420995,0.6562843918800354,0.3220246732234955,0.0,1775616.0,-0.3729937672615051,9000,1156,1155,485.060313163
0.9999999403953552,0.0078125,0.03918081894516945,0.0015384615398943424,25.77994728088379,67.39230346679688,1746195125.6685975,0.6562843918800354,0.24687820672988892,0.0,1780224.0,-0.3803987503051758,9024,1159,1158,486.186800673
0.9999999403953552,0.0078125,0.04006670042872429,0.0015384615398943424,22.94921875,67.39230346679688,1746195127.9257097,0.6562843918800354,0.20234696567058563,0.0,1789440.0,-0.33125585317611694,9072,1165,1164,488.444038217
0.9999999403953552,0.0078125,0.036828190088272095,0.0015384615398943424,24.625,67.39230346679688,1746195129.0801525,0.6562843918800354,0.22976554930210114,0.0,1794048.0,-0.3364812433719635,9096,1168,1167,489.598489309
0.9999999403953552,0.008463541977107525,0.037108805030584335,0.0015384615398943424,23.20572853088379,67.39230346679688,1746195129.8329268,0.6562843918800354,0.19744136929512024,0.0,1797120.0,-0.32769855856895447,9112,1170,1169,490.351526325
0.9999999403953552,0.008463541977107525,0.02598496340215206,0.0015384615398943424,25.49739646911621,67.39230346679688,1746195151.3665211,0.6562843918800354,0.26555654406547546,0.0,1884672.0,-0.3970603942871094,9568,1227,1226,511.884709817
0.9999999403953552,0.008463541977107525,0.034468986093997955,0.0015384615398943424,23.9375,67.39230346679688,1746195156.2578495,0.6562843918800354,0.2565787136554718,0.0,1904640.0,-0.38503217697143555,9672,1240,1239,516.776097029
0.9999999403953552,0.0078125,0.037833936512470245,0.0015384615398943424,24.97135353088379,67.39230346679688,1746195161.1626005,0.6562843918800354,0.20489902794361115,0.0,1924608.0,-0.3937901258468628,9776,1253,1252,521.680817732
0.9999999403953552,0.0078125,0.037161264568567276,0.0015384615398943424,24.06119728088379,67.39230346679688,1746195167.603615,0.6562843918800354,0.2778938114643097,0.0494791679084301,1950720.0,-0.3879145085811615,9912,1270,1269,528.121829523
0.9999999403953552,0.008463541977107525,0.03644799068570137,0.0015384615398943424,24.8828125,67.39230346679688,1746195170.260053,0.6562843918800354,0.3266828954219818,0.0501302070915699,1961472.0,-0.4046475291252136,9968,1277,1276,530.778386416
0.9999999403953552,0.0078125,0.03583293408155441,0.0015384615398943424,23.80078125,67.39230346679688,1746195177.8310223,0.6562843918800354,0.25796544551849365,0.0455729179084301,1992192.0,-0.3992410898208618,10128,1297,1296,538.349222844
1.0,0.0078125,0.038758523762226105,0.09433962404727936,22.39453125,91.71697998046875,1746195179.4173465,0.8861883878707886,0.1861392706632614,0.0,1998336.0,-0.40328818559646606,10160,1301,1300,539.935571371
1.0,0.008463541977107525,0.046985920518636703,0.09433962404727936,23.12109375,91.71697998046875,1746195189.2432313,0.8861883878707886,0.21730788052082062,0.00390625,2038272.0,-0.40187832713127136,10368,1327,1326,549.76149978
