grad_steps,qvals,returned_episode_lengths,returned_won_episode,update_steps,returned_episode,_step,test_returned_won_episode,test_returned_episode_returns,loss,test_returned_episode_lengths,_runtime,env_step,returned_episode_returns,_timestamp,test_returned_episode
0,0.0,23.94856834411621,0.0,19,0.0240885429084301,18,0.0,0.12264664471149445,0.0,26.75217628479004,59.790579976,29184,0.2433321475982666,1747613497.5815763,1.0
0,0.0,25.13997459411621,0.0,21,0.02278645895421505,20,0.0,0.12264664471149445,0.0,26.75217628479004,59.931677747,32256,0.21704968810081482,1747613497.7226472,1.0
40,0.29627102613449097,24.75130271911621,0.0,36,0.02539062686264515,35,0.0,0.12264664471149445,0.02009883150458336,26.75217628479004,62.921193626,55296,0.21242734789848328,1747613500.7120254,1.0
336,0.5100398063659668,27.36653709411621,0.0,73,0.0221354179084301,72,0.0,0.12264664471149445,0.0943436324596405,26.75217628479004,79.87030959,112128,0.26443368196487427,1747613517.6611814,1.0
416,0.5587215423583984,24.792970657348633,0.0,83,0.02473958395421505,82,0.0,0.12264664471149445,0.15249103307724,26.75217628479004,84.458553556,127488,0.2552731931209564,1747613522.2493215,1.0
648,0.5355780124664307,26.05208396911621,0.0,112,0.0240885429084301,111,0.0,0.12264664471149445,0.33359581232070923,26.75217628479004,97.809849894,172032,0.273796021938324,1747613535.600661,1.0
912,0.6542847156524658,27.025392532348633,0.0,145,0.02148437686264515,144,0.0,0.12264664471149445,0.32692310214042664,26.75217628479004,113.029742092,222720,0.2946007549762726,1747613550.8205519,1.0
1416,0.730975866317749,25.72005271911621,0.0,208,0.02148437686264515,207,0.0,0.12264664471149445,0.28308340907096863,26.75217628479004,142.061128188,319488,0.2990000545978546,1747613579.8519182,1.0
1888,0.6514155864715576,26.33919334411621,0.0,267,0.02083333395421505,266,0.0,0.12264664471149445,0.10153544694185257,26.75217628479004,169.315661278,410112,0.30860939621925354,1747613607.106444,1.0
1928,0.6388519406318665,26.13802146911621,0.0,272,0.0240885429084301,271,0.0,0.12264664471149445,0.09805610775947571,26.75217628479004,171.637796735,417792,0.29850611090660095,1747613609.4285767,1.0
1984,0.6368362903594971,26.720705032348633,0.0,279,0.02148437686264515,278,0.0,0.12264664471149445,0.09684228152036667,26.75217628479004,174.844336422,428544,0.28822988271713257,1747613612.6351352,1.0
2120,0.6387062668800354,26.012371063232422,0.0,296,0.0240885429084301,295,0.0,0.12264664471149445,0.09085865318775177,26.75217628479004,182.704456226,454656,0.3088543117046356,1747613620.4952896,1.0
2560,0.6035364270210266,26.832033157348633,0.0,351,0.017578125,350,0.0031720856204628944,0.5743336081504822,0.07484998553991318,39.89769744873047,208.163318486,539136,0.30347612500190735,1747613645.9541345,1.0
2760,0.549735963344574,27.020183563232422,0.0,376,0.02343750186264515,375,0.0031720856204628944,0.5743336081504822,0.06645426154136658,39.89769744873047,219.678288636,577536,0.36276352405548096,1747613657.4689362,1.0
2784,0.5395475625991821,25.485027313232422,0.0,379,0.02473958395421505,378,0.0031720856204628944,0.5743336081504822,0.06603169441223145,39.89769744873047,221.071279706,582144,0.3572829067707062,1747613658.861975,1.0
2808,0.5396890640258789,26.475261688232422,0.0,382,0.0221354179084301,381,0.0031720856204628944,0.5743336081504822,0.0660545751452446,39.89769744873047,222.456983045,586752,0.3091924488544464,1747613660.2477014,1.0
2880,0.4915098249912262,28.59114646911621,0.0,391,0.0182291679084301,390,0.0031720856204628944,0.5743336081504822,0.07459745556116104,39.89769744873047,226.612382943,600576,0.33105412125587463,1747613664.4032207,1.0
2936,0.4387669265270233,25.574220657348633,0.0,398,0.01953125186264515,397,0.0031720856204628944,0.5743336081504822,0.058486200869083405,39.89769744873047,229.843929712,611328,0.3429363965988159,1747613667.6347337,1.0
2992,0.40549302101135254,27.677736282348633,0.0,405,0.0201822929084301,404,0.0031720856204628944,0.5743336081504822,0.05848246067762375,39.89769744873047,233.070923223,622080,0.33326613903045654,1747613670.861448,1.0
3160,0.24901190400123596,27.508464813232422,0.0,426,0.02278645895421505,425,0.0031720856204628944,0.5743336081504822,0.1856103539466858,39.89769744873047,242.865809229,654336,0.3359871804714203,1747613680.656592,1.0
3208,0.24343958497047424,25.43684959411621,0.0,432,0.02473958395421505,431,0.0031720856204628944,0.5743336081504822,0.16770575940608978,39.89769744873047,245.63690534,663552,0.31574517488479614,1747613683.4274206,1.0
3312,0.11427029967308044,25.04231834411621,0.0,445,0.0240885429084301,444,0.0031720856204628944,0.5743336081504822,0.22623339295387268,39.89769744873047,251.619805731,683520,0.33140262961387634,1747613689.4105327,1.0
3328,0.12462200969457626,26.468751907348633,0.0,447,0.0201822929084301,446,0.0031720856204628944,0.5743336081504822,0.31237250566482544,39.89769744873047,252.540864433,686592,0.40242546796798706,1747613690.3316603,1.0
3352,0.1342121660709381,26.373048782348633,0.0,450,0.02343750186264515,449,0.0031720856204628944,0.5743336081504822,0.10932058840990067,39.89769744873047,253.920639507,691200,0.32427290081977844,1747613691.71145,1.0
3408,0.13458319008350372,24.91341209411621,0.0,457,0.0240885429084301,456,0.0031720856204628944,0.5743336081504822,0.18595552444458008,39.89769744873047,257.143404654,701952,0.3120570778846741,1747613694.9341903,1.0
3512,0.12251244485378265,27.22005271911621,0.0,470,0.02278645895421505,469,0.0031720856204628944,0.5743336081504822,0.09099293500185013,39.89769744873047,263.128070437,721920,0.37060198187828064,1747613700.9188042,1.0
3592,0.17454710602760315,26.595705032348633,0.0,480,0.02278645895421505,479,0.0031720856204628944,0.5743336081504822,0.16465067863464355,39.89769744873047,267.726097205,737280,0.3576386868953705,1747613705.5167615,1.0
3624,0.17702196538448334,27.36067771911621,0.0,484,0.02278645895421505,483,0.0031720856204628944,0.5743336081504822,0.07576385140419006,39.89769744873047,269.56417437,743424,0.3411269783973694,1747613707.3549795,1.0
3696,0.11826036125421524,26.936199188232422,0.0,493,0.0201822929084301,492,0.0031720856204628944,0.5743336081504822,0.07623007893562317,39.89769744873047,273.705675703,757248,0.3490678369998932,1747613711.4963684,1.0
3768,0.1199476420879364,25.476564407348633,0.0,502,0.0201822929084301,501,0.0031720856204628944,0.5743336081504822,0.15847986936569214,39.89769744873047,277.83808674,771072,0.36203840374946594,1747613715.6288483,1.0
4064,0.09439752995967865,27.377605438232422,0.0,539,0.0201822929084301,538,0.0031720856204628944,0.5743336081504822,0.11873311549425125,39.89769744873047,294.848860575,827904,0.3331775963306427,1747613732.639598,1.0
4128,0.10255955159664154,26.906251907348633,0.0,547,0.0221354179084301,546,0.0031720856204628944,0.5743336081504822,0.09540948271751404,39.89769744873047,298.532132014,840192,0.3959159553050995,1747613736.322909,1.0
4160,0.13733544945716858,26.417970657348633,0.0,551,0.0240885429084301,550,0.0031720856204628944,0.5743336081504822,0.09733417630195618,39.89769744873047,300.372020289,846336,0.3608448803424835,1747613738.1627562,1.0
4440,0.1254604160785675,26.093751907348633,0.0,586,0.0221354179084301,585,0.0031720856204628944,0.5743336081504822,0.07111292332410812,39.89769744873047,316.476264406,900096,0.37964779138565063,1747613754.2668839,1.0
4584,0.07762318849563599,27.04817771911621,0.0,604,0.02148437686264515,603,0.0031720856204628944,0.5743336081504822,0.06511789560317993,39.89769744873047,324.769660435,927744,0.44111910462379456,1747613762.5603397,1.0
4632,0.07432800531387329,26.015626907348633,0.0,610,0.0240885429084301,609,0.0031720856204628944,0.5743336081504822,0.051422588527202606,39.89769744873047,327.52420246,936960,0.39575129747390747,1747613765.3149164,1.0
4648,0.08208295702934265,26.291017532348633,0.0,612,0.0221354179084301,611,0.0031720856204628944,0.5743336081504822,0.06146927922964096,39.89769744873047,328.44944415,940032,0.41878852248191833,1747613766.2400854,1.0
4656,0.07319119572639465,25.320314407348633,0.0,613,0.0221354179084301,612,0.0031720856204628944,0.5743336081504822,0.05884750187397003,39.89769744873047,328.909383351,941568,0.4362843334674835,1747613766.700143,1.0
4848,0.012867188081145287,27.24153709411621,0.0201822929084301,637,0.01888020895421505,636,0.0031720856204628944,0.5743336081504822,0.1116875559091568,39.89769744873047,339.959817539,978432,0.4228270351886749,1747613777.750612,1.0
5008,-0.04613035172224045,26.877605438232422,0.0364583358168602,657,0.01953125186264515,656,0.01233616005629301,0.6349490284919739,0.052354469895362854,40.909019470214844,349.286482398,1009152,0.42771440744400024,1747613787.077139,1.0
5088,-0.06717108190059662,28.183595657348633,0.0,667,0.02148437686264515,666,0.01233616005629301,0.6349490284919739,0.06205790862441063,40.909019470214844,353.886826482,1024512,0.46133342385292053,1747613791.6775305,1.0
5256,-0.014966007322072983,28.212892532348633,0.06640625,688,0.0182291679084301,687,0.01233616005629301,0.6349490284919739,0.04829739034175873,40.909019470214844,363.558191481,1056768,0.5122963786125183,1747613801.3488688,1.0
5312,-0.008800887502729893,27.92122459411621,0.02083333395421505,695,0.01953125186264515,694,0.01233616005629301,0.6349490284919739,0.049193233251571655,40.909019470214844,366.782505758,1067520,0.4844417870044708,1747613804.5732603,1.0
5344,-0.027933334931731224,26.940105438232422,0.0579427108168602,699,0.02083333395421505,698,0.01233616005629301,0.6349490284919739,0.05344187095761299,40.909019470214844,368.624149294,1073664,0.5531555414199829,1747613806.4149191,1.0
5392,-0.05608755350112915,29.400392532348633,0.02864583395421505,705,0.02083333395421505,704,0.01233616005629301,0.6349490284919739,0.08533336222171783,40.909019470214844,371.378271876,1082880,0.44745030999183655,1747613809.1690948,1.0
5456,-0.04209475964307785,27.69856834411621,0.0,713,0.01953125186264515,712,0.01233616005629301,0.6349490284919739,0.04878190904855728,40.909019470214844,375.051234217,1095168,0.4536808431148529,1747613812.8420286,1.0
