grad_steps,returned_episode_returns,returned_episode_lengths,returned_episode,test_returned_episode,loss,update_steps,returned_won_episode,test_returned_won_episode,qvals,test_returned_episode_returns,env_step,_step,_runtime,_timestamp,test_returned_episode_lengths
0,0.23515832424163818,26.940105438232422,0.01953125186264515,1.0,0.0,5,0.0,0.0,0.0,0.2238297015428543,7680.0,4,70.377424668,1746459087.1846921,45.47686767578125
0,0.17695443332195282,27.36263084411621,0.02343750186264515,1.0,0.0,16,0.0,0.0,0.0,0.2238297015428543,24576.0,15,71.207068346,1746459088.0143857,45.47686767578125
0,0.23579442501068115,25.84309959411621,0.02278645895421505,1.0,0.0,19,0.0,0.0,0.0,0.2238297015428543,29184.0,18,71.433467317,1746459088.240767,45.47686767578125
16,0.21155104041099548,26.273439407348633,0.02343750186264515,1.0,0.03631823509931564,33,0.0,0.0,-0.013403910212218761,0.2238297015428543,50688.0,32,73.266562841,1746459090.0737898,45.47686767578125
96,0.21083484590053558,26.39778709411621,0.02083333395421505,1.0,0.034669503569602966,43,0.0,0.0,0.09465128183364868,0.2238297015428543,66048.0,42,77.899403032,1746459094.7066224,45.47686767578125
144,0.21848763525485992,25.130861282348633,0.0221354179084301,1.0,0.02558669075369835,49,0.0,0.0,0.14138087630271912,0.2238297015428543,75264.0,48,80.684746773,1746459097.4919891,45.47686767578125
152,0.2153744399547577,26.328777313232422,0.0221354179084301,1.0,0.02356705628335476,50,0.0,0.0,0.14167577028274536,0.2238297015428543,76800.0,49,81.151424325,1746459097.958618,45.47686767578125
400,0.25491371750831604,26.77278709411621,0.02278645895421505,1.0,0.08297021687030792,81,0.0,0.0,0.20815469324588776,0.2238297015428543,124416.0,80,95.52248208,1746459112.3297389,45.47686767578125
440,0.2813282907009125,26.043621063232422,0.02083333395421505,1.0,0.19115635752677917,86,0.0,0.0,0.14806108176708221,0.2238297015428543,132096.0,85,97.837569808,1746459114.6448221,45.47686767578125
456,0.2445821911096573,25.106121063232422,0.0240885429084301,1.0,0.15734758973121643,88,0.0,0.0,0.15596789121627808,0.2238297015428543,135168.0,87,98.763203635,1746459115.5704408,45.47686767578125
528,0.26642364263534546,27.024089813232422,0.02278645895421505,1.0,0.150710791349411,97,0.0,0.0,0.18085938692092896,0.2238297015428543,148992.0,96,102.933896142,1746459119.7411387,45.47686767578125
