grad_steps,qvals,returned_episode_lengths,returned_won_episode,update_steps,returned_episode,_step,test_returned_won_episode,test_returned_episode_returns,loss,test_returned_episode_lengths,_runtime,env_step,returned_episode_returns,_timestamp,test_returned_episode
0,0.0,24.71419334411621,0.0,26,0.02539062686264515,25,0.0,0.12264664471149445,0.0,26.75217628479004,55.379001744,39936,0.21557927131652832,1747629115.1573005,1.0
0,0.0,25.164714813232422,0.0,28,0.02473958395421505,27,0.0,0.12264664471149445,0.0,26.75217628479004,55.518101794,43008,0.23805764317512512,1747629115.2964072,1.0
96,0.38849586248397827,26.69075584411621,0.0,43,0.02343750186264515,42,0.0,0.12264664471149445,0.02356697991490364,26.75217628479004,60.977570424,66048,0.23168672621250153,1747629120.7558548,1.0
312,0.5145863890647888,25.78059959411621,0.0,70,0.02278645895421505,69,0.0,0.12264664471149445,0.034613125026226044,26.75217628479004,72.811082226,107520,0.23831775784492493,1747629132.5893695,1.0
328,0.5468382835388184,26.174480438232422,0.0,72,0.02343750186264515,71,0.0,0.12264664471149445,0.15199172496795654,26.75217628479004,73.68646576,110592,0.2596595585346222,1747629133.464721,1.0
624,0.6174281239509583,25.402996063232422,0.0,109,0.02343750186264515,108,0.0,0.12264664471149445,0.09868389368057251,26.75217628479004,89.878146147,167424,0.2738387882709503,1747629149.6561177,1.0
680,0.6191139221191406,26.89388084411621,0.0,116,0.02343750186264515,115,0.0,0.12264664471149445,0.12345914542675018,26.75217628479004,92.945279858,178176,0.2887113094329834,1747629152.7235925,1.0
832,0.6713171005249023,25.664064407348633,0.0,135,0.02343750186264515,134,0.0,0.12264664471149445,0.12986207008361816,26.75217628479004,101.279742263,207360,0.27555814385414124,1747629161.0580065,1.0
848,0.6932555437088013,25.736330032348633,0.0,137,0.02343750186264515,136,0.0,0.12264664471149445,0.12352673709392548,26.75217628479004,102.151817643,210432,0.27667179703712463,1747629161.9300263,1.0
944,0.7244764566421509,25.080730438232422,0.0,149,0.0221354179084301,148,0.0,0.12264664471149445,0.10931651294231415,26.75217628479004,107.405403267,228864,0.26336437463760376,1747629167.1836498,1.0
976,0.7237502336502075,25.500001907348633,0.0,153,0.0240885429084301,152,0.0,0.12264664471149445,0.12264691293239594,26.75217628479004,109.155185819,235008,0.2764820158481598,1747629168.933472,1.0
1048,0.7461110353469849,26.086589813232422,0.0,162,0.0221354179084301,161,0.0,0.12264664471149445,0.14321842789649963,26.75217628479004,113.100866316,248832,0.2849988341331482,1747629172.878864,1.0
1112,0.7650613784790039,25.035808563232422,0.0,170,0.02473958395421505,169,0.0,0.12264664471149445,0.10941942036151886,26.75217628479004,116.611855186,261120,0.287552148103714,1747629176.3896878,1.0
1296,0.8056885004043579,26.753908157348633,0.0,193,0.02083333395421505,192,0.0,0.12264664471149445,0.12930580973625183,26.75217628479004,126.732104175,296448,0.27446454763412476,1747629186.5103154,1.0
1304,0.8221265077590942,26.90364646911621,0.0,194,0.0240885429084301,193,0.0,0.12264664471149445,0.12759703397750854,26.75217628479004,127.170435501,297984,0.3023102879524231,1747629186.9486904,1.0
1416,0.8359897136688232,25.408205032348633,0.0,208,0.02278645895421505,207,0.0,0.12264664471149445,0.11173247545957565,26.75217628479004,133.321330132,319488,0.2837369441986084,1747629193.0996118,1.0
1640,0.8819494247436523,26.78059959411621,0.0,236,0.0221354179084301,235,0.0,0.12264664471149445,0.17046016454696655,26.75217628479004,145.61102216,362496,0.2821734845638275,1747629205.389054,1.0
1648,0.8825911283493042,26.336589813232422,0.0,237,0.02083333395421505,236,0.0,0.12264664471149445,0.09410035610198975,26.75217628479004,146.049145296,364032,0.2856394648551941,1747629205.827149,1.0
1664,0.8831098079681396,25.841798782348633,0.0,239,0.02148437686264515,238,0.0,0.12264664471149445,0.09472078830003738,26.75217628479004,146.925669298,367104,0.29068562388420105,1747629206.7037358,1.0
1872,0.9270137548446655,26.949220657348633,0.0,265,0.02083333395421505,264,0.0,0.12264664471149445,0.08495642244815826,26.75217628479004,158.35854626,407040,0.3091125786304474,1747629218.136621,1.0
1968,0.9180861711502075,26.19466209411621,0.0,277,0.02343750186264515,276,0.0,0.12264664471149445,0.13329225778579712,26.75217628479004,163.63339814,425472,0.3033060133457184,1747629223.4115136,1.0
2200,0.9305946826934814,27.27278709411621,0.0,306,0.0221354179084301,305,0.0,0.12264664471149445,0.06385712325572968,26.75217628479004,176.356903683,470016,0.31773728132247925,1747629236.1349878,1.0
2280,0.9345132112503052,28.152345657348633,0.0,316,0.01953125186264515,315,0.0,0.12264664471149445,0.07630981504917145,26.75217628479004,180.742836258,485376,0.3102568984031677,1747629240.5209236,1.0
2376,0.9512122273445129,25.98177146911621,0.0,328,0.02343750186264515,327,0.0,0.45885172486305237,0.10082713514566422,40.83747863769531,186.117288108,503808,0.31441405415534973,1747629245.8953106,0.9999999403953552
2424,0.9471720457077026,24.998699188232422,0.0,334,0.0221354179084301,333,0.0,0.45885172486305237,0.26578718423843384,40.83747863769531,188.746944074,513024,0.2914346158504486,1747629248.5250764,0.9999999403953552
2704,0.9484266638755798,26.326824188232422,0.0,369,0.02343750186264515,368,0.0,0.45885172486305237,0.07909557223320007,40.83747863769531,204.083837188,566784,0.3398744761943817,1747629263.8620872,0.9999999403953552
2888,0.9448587894439697,26.73763084411621,0.0,392,0.02083333395421505,391,0.0,0.45885172486305237,0.12261240929365158,40.83747863769531,214.153353087,602112,0.3359930217266083,1747629273.931667,0.9999999403953552
2960,0.9440585374832153,26.53645896911621,0.0,401,0.02343750186264515,400,0.0,0.45885172486305237,0.07268589735031128,40.83747863769531,218.100653972,615936,0.3455258905887604,1747629277.878951,0.9999999403953552
3016,0.958008885383606,25.806642532348633,0.0,408,0.02278645895421505,407,0.0,0.45885172486305237,0.07455917447805405,40.83747863769531,221.163950889,626688,0.3717229664325714,1747629280.9422505,0.9999999403953552
